instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability
3,TN,True,3.211459028534591,0.09259259259259259,0.6737035016860473,0.11975415796041489,-0.0022117345387107105
8,FP,False,3.114999970421195,0.09259259259259259,0.6126410981194054,0.6076115369796753,0.003870830284704074
10,FP,False,3.0722919618710876,0.09259259259259259,0.7656879434603311,0.5566791892051697,-0.020092537171606674
24,FN,False,3.045583958737552,0.09259259259259259,0.8638486937921,0.34427371621131897,0.04764341197878041
34,TN,True,3.075834014452994,0.08333333333333333,0.34594650255410675,0.043226711452007294,0.08605161837007172
46,FN,False,3.0847499729134142,0.09259259259259259,0.6964677834512,0.28551262617111206,-0.020862440430347847
48,TN,True,3.1356249819509685,0.09259259259259259,0.3173673122934503,0.008765372447669506,0.138018652790678
52,FN,False,3.1861659954302013,0.07407407407407407,0.6802794388152844,0.23595333099365234,0.006857981498258751
108,TN,True,3.0996670247986913,0.09259259259259259,0.48147332344031585,0.040379974991083145,0.18363571039072155
119,FP,False,3.09204199584201,0.09259259259259259,0.7149632695815129,0.5390449166297913,0.009116303714574217
147,FP,False,3.0838330276310444,0.09259259259259259,0.5894234582855549,0.7106671333312988,0.00019340606423893977
155,FP,False,3.0860420083627105,0.09259259259259259,0.5959463735133754,0.5487825870513916,-0.005417287453851089
159,TN,True,3.1283339485526085,0.09259259259259259,0.3728265934318393,0.36065512895584106,0.045274921792054744
163,FN,False,3.062165982555598,0.09259259259259259,0.6276060229932712,0.15794183313846588,-0.02588382354664735
174,TN,True,3.0995839624665678,0.09259259259259259,0.649182166373285,0.2758920192718506,-0.020445647409650308
202,TP,True,3.009667037986219,0.0,0.7930705115606106,0.8348039388656616,0.035801094893277784
205,FP,False,3.0892910435795784,0.09259259259259259,0.7112063916888113,0.5991666316986084,0.0037265248450319283
211,FP,False,3.1147500267252326,0.0,0.2567304591151902,0.06052079796791077,0.007005667897689698
221,FN,False,3.093124949373305,0.09259259259259259,0.7546922176413045,0.4045330286026001,0.0078512533320299
227,TP,True,3.0515000107698143,0.09259259259259259,0.6228735084720303,0.5798411965370178,0.025208367476296213
250,FP,False,3.141083987429738,0.09259259259259259,0.5637167393408211,0.47066599130630493,0.013112932818451077
261,TP,True,3.0778339714743197,0.09259259259259259,0.801965839950503,0.7590274810791016,0.0030500809189850514
263,FN,False,3.0603749910369515,0.09259259259259259,0.6850979832439362,0.4398612380027771,0.027611621434950606
265,FP,False,3.0425420263782144,0.09259259259259259,0.8008553817840719,0.5353467464447021,-0.03177198487357268
266,FN,False,3.0627920059487224,0.09259259259259259,0.7547668216312347,0.27917757630348206,0.015254014686369952
283,TP,True,3.16116597969085,0.09259259259259259,0.45041285827704036,0.440809041261673,0.025363772152928496
294,TP,True,3.0856659868732095,0.09259259259259259,0.6229283725756951,0.8712022304534912,0.00232016182640595
295,TP,True,3.0631250119768083,0.0,0.8566427672759698,0.8339946269989014,0.229034359522232
298,FN,False,3.096417000051588,0.09259259259259259,0.626924221596877,0.18653486669063568,0.0024341155451408584
300,FP,False,3.0782920075580478,0.09259259259259259,0.8265274132654695,0.6960135698318481,-0.007676687847993474
301,TP,True,3.061249968595803,0.08333333333333333,0.47121855806867985,0.8066939115524292,-0.006408338094632582
319,FP,False,3.062875010073185,0.09259259259259259,0.508051594640762,0.5501349568367004,-0.009862607140649985
377,FP,False,3.020874981302768,0.09259259259259259,0.7691531722750458,0.7138248682022095,0.0006042371254166481
421,FN,False,3.0949999927543104,0.09259259259259259,0.6681494684745048,0.08744712173938751,0.00023967090409511812
438,TP,True,3.092082974035293,0.018518518518518517,0.2328341885262133,0.148952454328537,-0.005520795933531444
446,TN,True,3.0844580032862723,0.09259259259259259,0.3834493717437466,0.017321420833468437,0.17542541008926602
449,FP,False,3.1039579771459103,0.09259259259259259,0.45396965458558375,0.4909370541572571,-0.014883992968675383
459,TN,True,3.0902079888619483,0.09259259259259259,0.3808883198749312,0.004951045848429203,0.05103664293675376
467,FN,False,3.094332991167903,0.09259259259259259,0.6924535388329391,0.43335315585136414,0.008833920690342913
469,FN,False,3.1390829826705158,0.09259259259259259,0.8004971507305225,0.4748516082763672,-0.0034118946958653098
474,FN,False,3.0553339747712016,0.09259259259259259,0.7574185402387821,0.21053865551948547,0.019729035726411954
488,FN,False,3.3284169621765614,0.09259259259259259,0.21929360837285986,0.09663167595863342,0.16107326403532107
491,TN,True,3.206250024959445,0.09259259259259259,0.7395728463895889,0.34456443786621094,-0.010017387370644433
493,TN,True,3.1070419936440885,0.09259259259259259,0.5288959518020626,0.034901395440101624,0.0781186675475153
530,FP,False,3.066791978199035,0.09259259259259259,0.7751182388309172,0.5921292304992676,-0.021398755916732844
539,FP,False,3.193125012330711,0.09259259259259259,0.7195277231934414,0.517397403717041,0.03935702382554913
545,TN,True,3.1341249705292284,0.09259259259259259,0.3920102500682636,0.010596303269267082,0.03312176091976009
547,FP,False,3.124500042758882,0.09259259259259259,0.17262124487013428,0.4365624487400055,0.00612757198805806
560,FP,False,3.05649999063462,0.09259259259259259,0.6757439199168742,0.6123787760734558,-0.014262469717430414
573,TN,True,3.1217910000123084,0.09259259259259259,0.4654982358710008,0.0030348075088113546,0.04453359499521165
585,FP,False,3.094458021223545,0.09259259259259259,0.3256264857381462,0.22321796417236328,-0.020275440562205548
596,FN,False,3.0954580288380384,0.0,0.0677661373968358,0.07922506332397461,0.004775179984975895
623,FN,False,3.0476669780910015,0.09259259259259259,0.7663693957500629,0.34136420488357544,0.06459113206265392
667,FN,False,2.9916250496171415,0.09259259259259259,0.7324634565587534,0.39408379793167114,0.0019406334126087826
669,TP,True,3.0842090491205454,0.09259259259259259,0.537177917484351,0.771664559841156,0.020599521508795772
671,TN,True,3.063916985411197,0.09259259259259259,0.6304077189281831,0.10417352616786957,0.0870892962411177
681,FN,False,3.202791034709662,0.09259259259259259,0.6767430091748191,0.4522317349910736,-0.00023381604945513476
704,TN,True,3.125542018096894,0.09259259259259259,0.6076754116378457,0.1771007627248764,0.035049086690280805
709,FP,False,3.1124160159379244,0.09259259259259259,0.7706607995264534,0.7148959636688232,-0.023522801015559276
710,TN,True,3.0646249651908875,0.09259259259259259,0.33823083854100155,0.018229151144623756,0.013010400078618046
722,TN,True,3.110416990239173,0.09259259259259259,0.3057549393818739,0.0039015808142721653,0.019747681571131253
733,TN,True,3.034208028111607,0.09259259259259259,0.5300916996536394,0.006325002759695053,0.10459675502039786
735,TN,True,3.0848339665681124,0.09259259259259259,0.31795137819602715,0.0008321349159814417,0.03162424627675632
738,TP,True,3.089291974902153,0.09259259259259259,0.6984954642319958,0.5346437096595764,0.02133566570175867
759,FP,False,3.09354200726375,0.09259259259259259,0.7726322834810888,0.5346437096595764,0.002788228172539055
760,FN,False,3.0657079769298434,0.09259259259259259,0.7485938087997762,0.32991984486579895,0.031009829017972897
804,FN,False,3.1271670013666153,0.09259259259259259,0.684574201071791,0.08200054615736008,0.06794691385665963
822,FP,False,3.108707955107093,0.09259259259259259,0.6761094012998479,0.304561585187912,-0.0008431473488460113
829,FP,False,3.087207966018468,0.09259259259259259,0.7508751022425258,0.6735100746154785,-0.0001923742284143585
831,FP,False,3.142207977361977,0.09259259259259259,0.2822507979008672,0.08379122614860535,-0.01267960816432483
839,FN,False,3.1049170065671206,0.09259259259259259,0.5437555173311245,0.0948001816868782,0.09780383104717462
853,FP,False,3.094542014878243,0.09259259259259259,0.23164082510662967,0.4484436511993408,0.003885288134361881
873,TN,True,3.0594999552704394,0.08333333333333333,0.28901117418773825,0.02662809193134308,0.09553759078662112
891,FN,False,3.139832988381386,0.09259259259259259,0.7127089285981594,0.2731279730796814,-0.02898212553260484
919,FN,False,3.0680419877171516,0.09259259259259259,0.7685501479329453,0.3783484101295471,0.025718573305993104
924,TN,True,3.086125012487173,0.09259259259259259,0.6404973253289346,0.003214077325537801,0.023760808459230613
931,TN,True,3.0540410079993308,0.09259259259259259,0.7221108462700534,0.10722138732671738,-0.0005896197096907712
933,TP,True,3.0406659934669733,0.09259259259259259,0.7583015414631198,0.626451849937439,0.0017893731469796892
936,TP,True,3.099875000771135,0.09259259259259259,0.5558725942390323,0.654275119304657,-0.004854907386781608
938,FN,False,3.115625004284084,0.09259259259259259,0.568102135965901,0.02134198322892189,0.017343257911533586
944,FN,False,3.1265420257113874,0.08333333333333333,0.5147021584636374,0.114756740629673,0.1544361695951658
961,TN,True,3.198208985850215,0.09259259259259259,0.7230902293600403,0.3457527756690979,-0.0022703815708895033
976,FP,False,6.466040969826281,0.09259259259259259,0.7422036474790471,0.6506496667861938,0.009835620509847395
1011,FN,False,3.0709999846294522,0.08333333333333333,0.43208698172677223,0.3640814423561096,0.006595372619803793
1020,TP,True,3.107791009824723,0.0,0.0,0.024146616458892822,5.575529976143377e-36
1032,FP,False,3.123958013020456,0.09259259259259259,0.7317728936169924,0.61692875623703,0.003579677706822143
1035,FP,False,3.0809579766355455,0.0,-0.03886049543143673,0.0,1.3920481437673506e-33
1043,TP,True,3.131957957521081,0.09259259259259259,0.7652026239122798,0.902510404586792,0.013114939917868197
1055,FP,False,3.0774170299991965,0.0,0.0,0.018516600131988525,-8.512211235076221e-36
1064,TN,True,3.0507499468512833,0.08333333333333333,0.16530541641539925,0.013419815339148045,0.11709640999996682
1067,FP,False,3.0866250162944198,0.09259259259259259,0.3039196450146703,0.0013015270233154297,-0.013257432870948641
1072,TP,True,3.0828340095467865,0.09259259259259259,0.395712130127563,0.25390610098838806,-0.00047416835234018515
1110,TN,True,3.0693330336362123,0.0,0.12362212589523663,0.05703437328338623,0.006439693883182188
1121,FP,False,3.0841249972581863,0.09259259259259259,0.6104239732812745,0.678962767124176,-0.035208780558587394
1123,FN,False,3.067667013965547,0.09259259259259259,0.6756407004971394,0.11136314272880554,0.056521682995756696
1153,FP,False,3.1094999867491424,0.09259259259259259,0.670126036229737,0.6251704096794128,-0.011550416166781754
1184,TN,True,3.005624981597066,0.09259259259259259,0.42055828782272453,0.0030700108036398888,0.022396791994717336
1185,TP,True,3.066916950047016,0.0,0.6835805232375306,0.5809115171432495,1.7366569045939626e-18
