instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability
0,TP,True,1001.1773039996115,0.819672131147541,0.40048233838656755,0.08415699005126953,0.6741820080953462
1,FN,False,1001.2411679999786,0.8524590163934426,0.41256984895041826,0.05961605906486511,0.6608348490801191
2,FN,False,1001.1072279994551,0.8524590163934426,0.7603485959064568,0.41795477271080017,0.8708011176470091
3,TP,True,1002.5519620003251,0.819672131147541,0.62818130652368,0.3988426923751831,0.5462235633187738
4,FP,False,1000.9532849999232,0.8360655737704918,0.6850343583827309,0.14072567224502563,0.9292615942765633
6,TP,True,1002.5680019998617,0.819672131147541,0.8442935545311989,0.5841988325119019,0.5457182991219615
7,FP,False,1001.0055709999506,0.8360655737704918,0.39749628215261856,0.19643574953079224,0.7583903195930838
8,TN,True,1002.158426999813,0.8032786885245902,0.5126613940962186,0.1784837245941162,0.7021857693719915
9,TP,True,1000.8556880002288,0.8032786885245902,0.5759978537012278,0.18376284837722778,0.5893376671035617
10,TP,True,1002.4358950004171,0.7868852459016393,0.3922290593332744,0.1633535623550415,0.7563040559694678
11,FP,False,1001.1107649997939,0.819672131147541,0.8665961082972842,0.37592652440071106,0.5977179851627437
12,TN,True,1001.1313609993522,0.8524590163934426,0.3929426760936004,0.26087674498558044,0.42797072338902403
13,TN,True,1005.2618090003307,0.8360655737704918,0.6866595510172259,0.44385695457458496,0.8138112223270044
14,TP,True,1000.7092170008036,0.819672131147541,0.5200112788793957,0.011603355407714844,0.5633803964289805
15,FN,False,1000.977330000751,0.8524590163934426,0.4477458357623584,0.255874365568161,0.5096520553469611
16,FN,False,1002.0965679996152,0.8360655737704918,0.42006804409092646,0.28113383054733276,0.44146498753078467
17,FP,False,1001.9058349998886,0.8360655737704918,0.7171443991092752,0.03906363248825073,0.5227583165931148
18,TP,True,1000.8214310000767,0.7868852459016393,0.7626956662691095,0.12230890989303589,0.3741299764052801
19,TP,True,1002.4506170002496,0.819672131147541,0.7610953056787374,0.19408857822418213,0.5107024546046666
20,TP,True,1000.9380660003444,0.819672131147541,0.6486765885879358,0.2365545630455017,0.6868887764994084
21,FP,False,1001.0923889994956,0.8360655737704918,0.6902486454923581,0.16030734777450562,0.9246711284943606
22,FP,False,1001.0381550000602,0.819672131147541,0.39917807540220707,0.2318243384361267,0.4287631882871316
23,TP,True,1001.0400580003989,0.7704918032786885,0.7476381487955608,0.17759042978286743,0.7463027187536565
24,TP,True,1000.5219249997026,0.819672131147541,0.554042492043139,0.2747790217399597,0.6478044223407722
