instance_id,quadrant,prediction_correct,metric_cost,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
8615,TP,True,4.7521250089630485,0.0,0.11355584859848022,0.6,0.3333333333333333,1.0242308070885961e-188
5547,TP,True,4.672874929383397,0.0,0.0038700103759765625,0.4,0.3333333333333333,1.414733435830255e-228
2759,TP,True,4.176832968369126,0.0,0.12159368395805359,0.6,0.5,4.910874900459289e-157
3567,TP,True,4.20725008007139,0.0,0.05553621053695679,0.8,0.5,-8.529451765571438e-155
2710,TP,True,4.416166921146214,0.0,0.0019226670265197754,0.6,0.5,-1.0565927196439683e-202
4832,TP,True,4.611707990989089,0.0,0.00987386703491211,0.6,0.5,2.4035093785975274e-248
367,TP,True,4.139500088058412,0.0,0.05493664741516113,0.6,0.5,-7.983372899358858e-166
9561,TP,True,4.343250067904592,0.0,0.194008469581604,0.4,0.16666666666666666,4.202104088052424e-181
3065,TP,True,4.2935420060530305,0.0,0.07819825410842896,0.8,0.3333333333333333,-4.335258999831725e-193
5818,TP,True,4.356082994490862,0.0,0.0,0.4,0.3333333333333333,0.0
8341,TN,True,4.18495899066329,0.0,0.0032416917383670807,0.4,0.3333333333333333,4.940652301251892e-189
5436,TN,True,4.253624938428402,0.0,0.013007499277591705,0.6,0.3333333333333333,3.939681182257062e-147
9131,TN,True,4.2541660368442535,0.0,0.0106950169429183,0.4,0.16666666666666666,7.8485688635958e-298
941,TN,True,4.154958995059133,0.0,0.0,0.8,0.5,-5.22015986688513e-153
1755,TN,True,4.467459046281874,0.0,0.0002099678386002779,0.6,0.16666666666666666,3.945187396482674e-167
7650,TN,True,4.226209013722837,0.0,0.0,0.4,0.3333333333333333,0.0
3387,TN,True,4.092083894647658,0.0,0.0,0.4,0.3333333333333333,0.0
105,TN,True,4.124084021896124,0.0,0.2287624031305313,0.8,0.6666666666666666,-4.1091343863247304e-191
2996,TN,True,4.262833972461522,0.0,0.00011249235831201077,0.4,0.3333333333333333,1.037677725479662e-225
440,TN,True,4.764457931742072,0.0,0.0717909187078476,0.8,0.3333333333333333,8.6595e-320
8674,FP,False,4.125750041566789,0.0,0.08012622594833374,0.2,0.16666666666666666,8.222547497709987e-140
1963,FP,False,4.327791044488549,0.0,0.19812780618667603,0.8,0.5,1.8081346731071793e-185
6659,FP,False,4.280375083908439,0.0,0.11109596490859985,0.6,0.5,3.134815663901194e-182
7942,FP,False,4.228665959089994,0.0,0.3515200614929199,0.4,0.0,4.0579353672678534e-139
5115,FP,False,4.1016669711098075,0.0,0.016880929470062256,0.4,0.3333333333333333,9.544104843572357e-172
3430,FP,False,4.57129196729511,0.0,0.14634883403778076,0.6,0.5,8.360998072410087e-187
4730,FP,False,4.366665962152183,0.0,0.029629766941070557,0.4,0.3333333333333333,0.0
9430,FP,False,4.103417042642832,0.0,0.1655941903591156,0.8,0.5,-3.9038568812711417e-159
8369,FP,False,4.0832910453900695,0.0,0.5670795440673828,0.4,0.16666666666666666,3.816930059822404e-133
3384,FP,False,4.291792050935328,0.0,0.0,0.4,0.3333333333333333,0.0
9476,FN,False,4.176125046797097,0.0,0.044249117374420166,0.6,0.3333333333333333,3.351954385184171e-155
7820,FN,False,4.215624998323619,0.0,0.2906603515148163,0.8,0.5,-1.3545309207063496e-154
2787,FN,False,4.311042022891343,0.0,0.0025852620601654053,0.8,0.3333333333333333,1.1056343258053984e-214
3250,FN,False,4.3796669924631715,0.0,0.25012075901031494,0.8,0.3333333333333333,-2.3315523531371136e-225
2891,FN,False,4.087333916686475,0.0,0.0,0.4,0.3333333333333333,0.0
1016,FN,False,4.338709055446088,0.0,0.006586194038391113,0.8,0.5,1.0251579549662034e-205
7728,FN,False,4.295542021282017,0.0,0.1422276794910431,0.8,0.6666666666666666,3.1112853409591593e-146
9344,FN,False,4.122082958929241,0.0,0.12303110957145691,0.8,0.5,8.321036365408331e-271
1372,FN,False,4.0926249930635095,0.0,0.09592771530151367,0.4,0.3333333333333333,1.358706647348603e-175
87,FN,False,4.4336250284686685,0.0,0.003090411424636841,0.4,0.3333333333333333,0.0
