instance_id,quadrant,prediction_correct,metric_cost,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
8615,TP,True,4.689375055022538,0.3399212847766267,0.11355584859848022,0.6,0.5,0.1503898354650709
5547,TP,True,4.484415985643864,0.1370094612250564,0.002615630626678467,0.4,0.3333333333333333,0.9058408264437906
2759,TP,True,4.438417032361031,0.25784489798339433,0.10177111625671387,0.6,0.5,0.6707377778918852
3567,TP,True,4.326957976445556,0.4134003662006077,0.6306887865066528,0.8,0.5,-0.08935182261660456
2710,TP,True,4.476749920286238,0.15314858668110937,0.0011097192764282227,0.6,0.5,0.88177674787475
4832,TP,True,4.4603749411180615,0.16143676184477468,0.010427117347717285,0.8,0.6666666666666666,0.8956823129424158
367,TP,True,4.28287498652935,0.31493144281701024,0.6126659512519836,1.0,0.6666666666666666,0.89161634055753
9561,TP,True,4.334958968684077,0.28952381867353116,0.3613945543766022,0.8,0.5,0.22618750396339932
3065,TP,True,4.450542037375271,0.4360398075044345,0.8220828175544739,0.8,0.3333333333333333,0.8809871814026934
5818,TP,True,4.4216669630259275,0.0,0.9081261157989502,0.8,0.3333333333333333,1.253603076288047e-33
8341,TN,True,4.509249934926629,0.2984236387460207,0.014637928456068039,0.8,0.5,0.821738218097628
5436,TN,True,4.304166999645531,0.6642882092575193,0.005292296409606934,0.8,0.3333333333333333,-0.04389241748211977
9131,TN,True,4.409166984260082,0.0,0.0027161855250597,0.8,0.3333333333333333,0.9327551096142219
941,TN,True,4.370875074528158,0.11336839909942682,0.0014672894030809402,0.6,0.3333333333333333,0.809216257840782
1755,TN,True,4.548792028799653,0.28613029132889833,0.0019587515853345394,0.6,0.3333333333333333,0.8373280277453636
7650,TN,True,4.4568340526893735,0.0,0.11140188574790955,0.4,0.16666666666666666,0.07062609600038564
3387,TN,True,4.8252500128000975,0.0,0.14626318216323853,0.4,0.3333333333333333,2.2475722828993207e-59
105,TN,True,4.308417090214789,0.3193301758572272,0.2287624031305313,0.8,0.6666666666666666,0.7456886583911169
2996,TN,True,4.385208012536168,0.20301891256984023,0.02122664637863636,0.8,0.5,0.9327148926064972
440,TN,True,4.40291699487716,0.0,0.05542641878128052,0.6,0.3333333333333333,0.942258719078126
8674,FP,False,4.3905830243602395,0.3607720584205239,0.4547936022281647,0.8,0.5,0.1893017276759367
1963,FP,False,4.462332930415869,0.3549955262781709,0.45538151264190674,1.0,0.8333333333333334,0.5850959325822102
6659,FP,False,4.331125062890351,0.25881760207646515,0.2902163565158844,0.8,0.6666666666666666,0.03666246445240886
7942,FP,False,4.296166938729584,0.5133711551840884,0.553104817867279,0.8,0.5,-0.10156295616729367
5115,FP,False,4.7980829840525985,0.2065345974733157,0.5714234709739685,1.0,0.6666666666666666,-0.16365019250617518
3430,FP,False,4.37783298548311,0.3202685559855475,0.33775490522384644,0.8,0.6666666666666666,0.26068390137042574
4730,FP,False,4.99229202978313,0.0,0.2741183042526245,0.4,0.3333333333333333,5.832771060793685e-35
9430,FP,False,4.2978329584002495,0.3749763529242318,0.1928236186504364,1.0,0.8333333333333334,-0.17370244599108337
8369,FP,False,4.370416980236769,0.4837768969566942,0.6234692335128784,0.8,0.5,-0.012975154463613681
3384,FP,False,4.50866692699492,0.0,0.03419137001037598,0.4,0.16666666666666666,6.623087600966963e-39
9476,FN,False,4.586416995152831,0.516920174975562,0.3273886442184448,0.6,0.16666666666666666,-0.12440298775221477
7820,FN,False,4.5733340084552765,0.42385695919498684,0.2748568654060364,0.8,0.5,0.14465936817557506
2787,FN,False,4.367624991573393,0.13372931570604635,0.32627618312835693,0.8,0.3333333333333333,-0.18415403322368343
3250,FN,False,4.293499980121851,0.49909484156242817,0.2612192928791046,0.8,0.3333333333333333,0.026356482696176374
2891,FN,False,4.343291046097875,0.0,0.14972448348999023,0.4,0.16666666666666666,-1.9182241283616238e-97
1016,FN,False,4.450957989320159,0.1078829875192317,0.006586194038391113,0.6,0.3333333333333333,-0.17212858769082834
7728,FN,False,4.918167018331587,0.4199105542514322,0.018610477447509766,0.8,0.6666666666666666,-0.010727275746060073
9344,FN,False,4.277625004760921,0.2734394876923594,0.2904946208000183,1.0,0.6666666666666666,0.40823798610965606
1372,FN,False,4.338916973210871,0.4207696186842331,0.2771112024784088,0.8,0.6666666666666666,0.17414120297997368
87,FN,False,4.315083031542599,0.0,0.2803465723991394,0.6,0.3333333333333333,-4.9679003582250124e-145
