,shap,lime,anchors,dice
shap,1.0,0.25523159833753595,0.024183315325563948,0.03627025196828504
lime,0.25523159833753595,1.0,1.8158433609638536e-05,3.568453284552575e-05
anchors,0.024183315325563948,1.8158433609638536e-05,1.0,0.9989916864685192
dice,0.03627025196828504,3.568453284552575e-05,0.9989916864685192,1.0
