comparison_set,metric,n_pairs,wilcoxon_statistic,p_value_raw,significant_raw_alpha_0_05,shap_mean,lime_mean,shap_median,lime_median,median_diff,cohens_dz,p_value_holm,significant_holm_alpha_0_05
all_models,fidelity,75,0.0,5.2803729173201584e-14,True,0.8080830988286181,0.5601929678586288,0.7588960738166333,0.5571246669081514,0.2654221343435658,4.82025154643062,2.640186458660079e-13,True
all_models,stability,75,0.0,5.2803729173201584e-14,True,0.7320296911218905,0.014404926494075276,0.8805061761181555,0.007345532024549347,0.8663071906519498,3.0022140592908264,2.640186458660079e-13,True
all_models,sparsity,75,0.0,5.2803729173201584e-14,True,0.22641877843158445,0.08464706951199212,0.09259259259259257,0.08474537037037039,0.008865740740740743,0.8387598326454874,2.640186458660079e-13,True
all_models,faithfulness_gap,75,1.0,5.4980694109671574e-14,True,0.3795596751252976,0.3342173899081752,0.3747260186320709,0.33188789059521695,0.045774624639744244,2.6263318217594485,2.640186458660079e-13,True
all_models,cost,75,205.0,1.1769242928569336e-10,True,11708.26007189294,3660.6778287115912,684.0692837929237,65.73424375,565.9435424999999,0.45067707665893975,1.1769242928569336e-10,True
