model,method,seed,n,status,path
svm,anchors,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_999\n_50\results.json
svm,anchors,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_999\n_100\results.json
svm,anchors,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_anchors\seed_999\n_200\results.json
svm,dice,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_42\n_50\results.json
svm,dice,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_42\n_100\results.json
svm,dice,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_42\n_200\results.json
svm,dice,123,50,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_123\n_50\results.json
svm,dice,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_123\n_100\results.json
svm,dice,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_123\n_200\results.json
svm,dice,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_456\n_50\results.json
svm,dice,456,100,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_456\n_100\results.json
svm,dice,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_456\n_200\results.json
svm,dice,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_789\n_50\results.json
svm,dice,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_789\n_100\results.json
svm,dice,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_789\n_200\results.json
svm,dice,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_999\n_50\results.json
svm,dice,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_999\n_100\results.json
svm,dice,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_dice\seed_999\n_200\results.json
svm,lime,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_42\n_50\results.json
svm,lime,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_42\n_100\results.json
svm,lime,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_42\n_200\results.json
svm,lime,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_123\n_50\results.json
svm,lime,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_123\n_100\results.json
svm,lime,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_123\n_200\results.json
svm,lime,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_456\n_50\results.json
svm,lime,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_456\n_100\results.json
svm,lime,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_456\n_200\results.json
svm,lime,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_789\n_50\results.json
svm,lime,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_789\n_100\results.json
svm,lime,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_789\n_200\results.json
svm,lime,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_999\n_50\results.json
svm,lime,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_999\n_100\results.json
svm,lime,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_lime\seed_999\n_200\results.json
svm,shap,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_42\n_50\results.json
svm,shap,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_42\n_100\results.json
svm,shap,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_42\n_200\results.json
svm,shap,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_123\n_50\results.json
svm,shap,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_123\n_100\results.json
svm,shap,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_123\n_200\results.json
svm,shap,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_456\n_50\results.json
svm,shap,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_456\n_100\results.json
svm,shap,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_789\n_50\results.json
svm,shap,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_789\n_100\results.json
svm,shap,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_789\n_200\results.json
svm,shap,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_999\n_50\results.json
svm,shap,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_999\n_100\results.json
svm,shap,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\svm_shap\seed_999\n_200\results.json
xgb,anchors,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_42\n_50\results.json
xgb,anchors,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_42\n_100\results.json
xgb,anchors,42,200,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_42\n_200\results.json
xgb,anchors,123,50,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_123\n_50\results.json
xgb,anchors,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_123\n_100\results.json
xgb,anchors,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_123\n_200\results.json
xgb,anchors,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_456\n_50\results.json
xgb,anchors,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_456\n_100\results.json
xgb,anchors,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_456\n_200\results.json
xgb,anchors,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_789\n_50\results.json
xgb,anchors,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_789\n_100\results.json
xgb,anchors,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_789\n_200\results.json
xgb,anchors,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_999\n_50\results.json
xgb,anchors,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_999\n_100\results.json
xgb,anchors,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_anchors\seed_999\n_200\results.json
xgb,dice,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_42\n_50\results.json
xgb,dice,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_42\n_100\results.json
xgb,dice,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_42\n_200\results.json
xgb,dice,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_123\n_50\results.json
xgb,dice,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_123\n_100\results.json
xgb,dice,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_123\n_200\results.json
xgb,dice,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_456\n_50\results.json
xgb,dice,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_456\n_100\results.json
xgb,dice,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_456\n_200\results.json
xgb,dice,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_789\n_50\results.json
xgb,dice,789,100,empty,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_789\n_100\results.json
xgb,dice,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_789\n_200\results.json
xgb,dice,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_999\n_50\results.json
xgb,dice,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_999\n_100\results.json
xgb,dice,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_dice\seed_999\n_200\results.json
xgb,lime,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_42\n_50\results.json
xgb,lime,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_42\n_100\results.json
xgb,lime,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_42\n_200\results.json
xgb,lime,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_123\n_50\results.json
xgb,lime,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_123\n_100\results.json
xgb,lime,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_123\n_200\results.json
xgb,lime,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_456\n_50\results.json
xgb,lime,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_456\n_100\results.json
xgb,lime,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_456\n_200\results.json
xgb,lime,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_789\n_50\results.json
xgb,lime,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_789\n_100\results.json
xgb,lime,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_789\n_200\results.json
xgb,lime,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_999\n_50\results.json
xgb,lime,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_999\n_100\results.json
xgb,lime,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_lime\seed_999\n_200\results.json
xgb,shap,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_42\n_50\results.json
xgb,shap,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_42\n_100\results.json
xgb,shap,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_42\n_200\results.json
xgb,shap,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_123\n_50\results.json
xgb,shap,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_123\n_100\results.json
xgb,shap,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_123\n_200\results.json
xgb,shap,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_456\n_50\results.json
xgb,shap,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_456\n_100\results.json
xgb,shap,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_456\n_200\results.json
xgb,shap,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_789\n_50\results.json
xgb,shap,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_789\n_100\results.json
xgb,shap,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_789\n_200\results.json
xgb,shap,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_999\n_50\results.json
xgb,shap,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_999\n_100\results.json
xgb,shap,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\xgb_shap\seed_999\n_200\results.json
