model,seed,n,shap_fidelity,lime_fidelity,diff_fidelity,shap_stability,lime_stability,diff_stability,shap_sparsity,lime_sparsity,diff_sparsity,shap_faithfulness_gap,lime_faithfulness_gap,diff_faithfulness_gap,shap_cost,lime_cost,diff_cost
logreg,42,50,0.9599164670921929,0.6442853177477478,0.31563114934444514,0.8779396399268252,0.006441968525665994,0.8714976714011592,0.09259259259259257,0.08435185185185183,0.008240740740740743,0.3523310787741589,0.31285002511794824,0.039481053656210685,575.084795,50.08786,524.996935
logreg,42,100,0.959757718197912,0.6556811766944386,0.3040765415034734,0.8766806798112211,0.007817919909185282,0.8688627599020359,0.09259259259259257,0.08372685185185183,0.008865740740740743,0.3501784985589675,0.31634379584374966,0.033834702715217824,502.4478775,71.2064075,431.24147
logreg,42,200,0.9602837332279739,0.643852418147801,0.31643131508017286,0.8803512250497534,0.0068175708762463995,0.873533654173507,0.09259259259259257,0.08358796296296295,0.009004629629629626,0.35156536756364615,0.31145355192709007,0.04011181563655608,585.88462125,47.73577125,538.14885
logreg,123,50,0.9379595773286007,0.6324620501635649,0.30549752716503575,0.8553003141124006,0.006336005258709549,0.848964308853691,0.09259259259259257,0.0800462962962963,0.012546296296296278,0.35307989873077317,0.3122438788835356,0.04083601984723756,1350.5675099999999,54.140395000000005,1296.427115
logreg,123,100,0.9417485842877659,0.6460154147111562,0.29573316957660967,0.8681958762735903,0.007019835637620666,0.8611760406359696,0.09259259259259257,0.08222222222222221,0.010370370370370363,0.35607617231320193,0.31358404709149906,0.04249212522170287,618.6379850000001,50.344575000000006,568.2934100000001
logreg,123,200,0.9424073589695949,0.6561238966353022,0.2862834623342927,0.8623912728670081,0.006857544344431143,0.855533728522577,0.09259259259259257,0.08399305555555553,0.008599537037037044,0.35863408424437204,0.3128869803493771,0.04574710389499492,606.9819325000001,50.02038375,556.9615487500001
logreg,456,50,0.9274259635377149,0.6746465219305238,0.2527794416071911,0.8805061761181555,0.008286244300407721,0.8722199318177478,0.09259259259259257,0.08814814814814813,0.004444444444444445,0.35243707251227546,0.31635432693889953,0.03608274557337593,591.327755,376.95174,214.37601500000005
logreg,456,100,0.9314471339592236,0.6696289361812039,0.26181819777801973,0.8844316276406344,0.007345532024549347,0.8770860956160851,0.09259259259259257,0.08585648148148146,0.006736111111111109,0.35346509971719925,0.3244471623945071,0.029017937322692144,616.7918549999999,50.84831249999999,565.9435424999999
logreg,456,200,0.9304473592176842,0.6762806059777391,0.2541667532399451,0.8854789756823789,0.006580883872178731,0.8788980918102002,0.09259259259259257,0.0866087962962963,0.005983796296296279,0.3574315767917821,0.3249135099051756,0.03251806688660652,1371.5426575000001,50.025533749999994,1321.51712375
logreg,789,50,0.9493366084901601,0.6513009338370273,0.29803567465313285,0.8753385382069382,0.038166759338729234,0.8371717788682089,0.09259259259259257,0.08611111111111111,0.006481481481481463,0.3585078850324684,0.3074759266062494,0.05103195842621899,4359.673895000001,54.81615,4304.857745000001
logreg,789,100,0.9505743504204763,0.6533059164969995,0.2972684339234768,0.8822391625427666,0.03771840503289701,0.8445207575098695,0.09259259259259257,0.08534722222222221,0.00724537037037036,0.35704438881179257,0.3070733378813598,0.04997105093043275,600.12942,48.87317,551.25625
logreg,789,200,0.9506201434607161,0.6597259138179943,0.2908942296427218,0.8846325424954429,0.0405556728769594,0.8440768696184835,0.09259259259259257,0.08594907407407407,0.006643518518518507,0.3549511141084323,0.31679780782476213,0.03815330628367014,498.185265,43.18819875,454.99706625
logreg,999,50,0.949877514110656,0.6677192758850558,0.28215823822560027,0.8950314402727573,0.03059691654660294,0.8644345237261544,0.09259259259259257,0.08694444444444444,0.005648148148148138,0.34430626583372015,0.31553187815490047,0.02877438767881968,567.8811099999999,49.517084999999994,518.364025
logreg,999,100,0.9494368247085574,0.6653998266248681,0.2840369980836893,0.8973908009925019,0.0307205240784777,0.8666702769140242,0.09259259259259257,0.08664351851851851,0.005949074074074065,0.35264723156720834,0.3237399893670389,0.028907242200169436,577.2497099999999,49.085502500000004,528.1642075
logreg,999,200,0.9494336545385967,0.6592160039860127,0.2902176505525841,0.8953880150933929,0.0290808244414431,0.8663071906519498,0.09259259259259257,0.08581018518518517,0.006782407407407404,0.34462171459982477,0.3148972954319323,0.02972441916789248,611.93223875,50.42309125,561.5091475
rf,42,50,0.7342148566667325,0.4477508132780521,0.28646404338868037,0.9563293230658904,0.007033884557877755,0.9492954385080126,0.45087962962962963,0.08231481481481481,0.36856481481481485,0.38125,0.309535,0.07171499999999997,533.185875,371.84241499999996,161.34346000000005
rf,42,100,0.723228767903906,0.4392226502213246,0.2840061176825814,0.9535715952442659,0.006936687425919907,0.946634907818346,0.4515046296296296,0.08263888888888889,0.36886574074074074,0.386125,0.3128133333333334,0.07331166666666661,1235.3403575,343.38568,891.9546775
rf,42,200,0.7283952726920859,0.44290017191164,0.28549510078044593,0.9525786808458137,0.006879308402417076,0.9456993724433965,0.45129629629629625,0.08320601851851851,0.36809027777777775,0.38142187499999997,0.3117620833333333,0.06965979166666669,1072.08528625,299.74244124999996,772.3428450000001
rf,123,50,0.7322965063197024,0.454610758995531,0.27768574732417145,0.932484854503234,0.006884767159445644,0.9256000873437884,0.5210185185185184,0.0850462962962963,0.43597222222222215,0.39116666666666666,0.3511416666666667,0.04002499999999998,7065.320915,327.85940999999997,6737.461505
rf,123,100,0.7361043555704014,0.4660867916571867,0.27001756391321474,0.937312175300962,0.0072120286949049865,0.930100146606057,0.5213194444444444,0.08541666666666665,0.4359027777777778,0.392225,0.34399250000000003,0.048232499999999956,6668.423034999999,908.50792,5759.915114999999
rf,123,200,0.7159509982330133,0.45394792761475017,0.26200307061826317,0.9381344204619191,0.006503903663354587,0.9316305167985645,0.5205375514403292,0.08465792181069957,0.4358796296296296,0.3771944113756614,0.33298376322751316,0.044210648148148235,1989.7081986111111,340.90541388888886,1648.8027847222222
rf,456,50,0.7371197647190136,0.46008540479271515,0.2770343599262985,0.9514222502104437,0.007322283347829231,0.9440999668626144,0.48203703703703704,0.08453703703703702,0.3975,0.4045683333333333,0.35278499999999996,0.05178333333333335,1262.41225,329.85767500000003,932.5545750000001
