metric,n_blocks,n_methods,friedman_statistic,p_value_raw,kendall_w,significant_raw_alpha_0_05,p_value_holm,significant_holm_alpha_0_05
cost,15,4,30.439999999999998,1.1151234907042475e-06,0.6764444444444444,True,1.1151234907042475e-06,True
faithfulness_gap,15,4,45.0,9.252702104537306e-10,1.0,True,4.6263510522686534e-09,True
fidelity,15,4,42.120000000000005,3.783632553510819e-09,0.936,True,1.5134530214043276e-08,True
sparsity,15,4,35.639999999999986,8.922591580833501e-08,0.7919999999999997,True,1.7845183161667001e-07,True
stability,15,4,40.68000000000001,7.645189063115296e-09,0.9040000000000001,True,2.293556718934589e-08,True
