,shap,lime,anchors,dice
shap,1.0,0.05319457543950579,0.05319457543950579,1.711765285072886e-08
lime,0.05319457543950579,1.0,1.0,0.003842920111632009
anchors,0.05319457543950579,1.0,1.0,0.003842920111632009
dice,1.711765285072886e-08,0.003842920111632009,0.003842920111632009,1.0
