,shap,lime,anchors,dice
shap,1.0,0.14627148104765975,1.8158433609638536e-05,1.711765285072886e-08
lime,0.14627148104765975,1.0,0.053194575439505676,0.0007745714595696063
anchors,1.8158433609638536e-05,0.053194575439505676,1.0,0.5803212897899541
dice,1.711765285072886e-08,0.0007745714595696063,0.5803212897899541,1.0
