,shap,lime,anchors,dice
shap,1.0,2.1249058197447823e-06,2.083079845283109e-07,0.14627148104765975
lime,2.1249058197447823e-06,1.0,0.9743485670466667,0.015772164664000776
anchors,2.083079845283109e-07,0.9743485670466667,1.0,0.003842920111632009
dice,0.14627148104765975,0.015772164664000776,0.003842920111632009,1.0
