,shap,lime,anchors,dice
shap,1.0,0.14627148104765975,0.00012981724532679095,1.179279562890656e-09
lime,0.14627148104765975,1.0,0.14627148104765975,0.00012981724532679095
anchors,0.00012981724532679095,0.14627148104765975,1.0,0.14627148104765975
dice,1.179279562890656e-09,0.00012981724532679095,0.14627148104765975,1.0
