instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability
33,TN,True,6881.327666999823,0.018518518518518517,0.2425744028165846,0.05,0.004761904761904761
57,TN,True,20226.982084000156,0.037037037037037035,0.21218595008635419,0.29000000000000004,0.0
69,TP,True,54029.460499999914,0.17592592592592593,0.358259672656398,0.19000000000000006,0.0
212,TP,True,1186703.003125,0.16666666666666666,0.06531609894520979,0.0,0.0
233,FN,False,30645.150792000095,0.08333333333333333,0.009402175876327329,0.07999999999999996,0.0
279,TN,True,4051.4616249997744,0.018518518518518517,0.5393047958033809,0.09,0.0
345,FP,False,277812.19750000036,0.28703703703703703,0.29665082850478763,0.31,0.0
356,TN,True,12294.224875000054,0.018518518518518517,-0.03857675990247349,0.009999999999999998,0.014285714285714282
396,TN,True,16536.557124999945,0.027777777777777776,0.27432381479390416,0.26,0.004761904761904761
479,TN,True,5982.114958000238,0.018518518518518517,0.312601397186341,0.09,0.0
504,TP,True,245683.33058299992,0.09259259259259259,0.610783524317497,0.56,0.0
506,FN,False,23232.156457999736,0.027777777777777776,-0.039356373307009876,0.0,0.0
531,FP,False,1371394.347083,0.28703703703703703,0.1442498672895421,0.16999999999999998,0.0
540,TP,True,746913.1743750001,0.7685185185185185,0.060078997169663306,0.45,0.0
595,FP,False,907171.793125,0.5462962962962963,0.09180662155455249,0.0,0.0
597,TP,True,60642.465124999944,0.07407407407407407,0.6203844336819004,0.32999999999999996,0.0
637,FP,False,325241.10387500015,0.24074074074074073,0.42387303971181406,0.59,0.0
670,TN,True,12749.622250000357,0.018518518518518517,0.4476339220443344,0.07999999999999999,0.0
881,TN,True,17540.435834000164,0.027777777777777776,0.5818272993239476,0.18,0.0
908,FN,False,13296.475167000608,0.06481481481481481,-0.030296834982479242,0.0,0.0
1018,FN,False,5458.743250000225,0.018518518518518517,-0.018867924528301855,0.0,0.0
1019,TN,True,15677.005666999776,0.018518518518518517,0.5142935490363211,0.27999999999999997,0.0
1024,FP,False,1899580.880083,0.9629629629629629,-0.008941781804899813,0.25999999999999995,0.0
1179,FN,False,6151.210957999865,0.046296296296296294,0.5709240443876875,0.32999999999999996,0.0
1269,FN,False,4574.2728330005775,0.018518518518518517,0.4988452879703368,0.21000000000000002,0.0
1314,FN,False,7591.92854200046,0.018518518518518517,-0.031039998044556035,0.0,0.0031746031746031755
1332,TP,True,2212135.514917,0.7407407407407407,0.1057286204697721,0.0,0.0
1388,TP,True,482980.48849999986,0.32407407407407407,0.30696590667840157,0.25,0.0
1462,FP,False,1616432.5540829995,0.5833333333333334,0.016686548034365284,0.26000000000000006,0.0
1468,FP,False,185966.16025000002,0.10185185185185185,0.5980723927532613,0.25,0.0
1597,FP,False,136537.77566600003,0.21296296296296297,0.38533927905910165,0.15000000000000002,0.0
1711,TP,True,37871.71874999967,0.05555555555555555,0.7203991457571914,0.6199999999999999,0.0
1769,FN,False,8369.333124999685,0.018518518518518517,-0.023699152863000603,0.0,0.0
1896,FP,False,1640009.8726250008,0.49074074074074076,-0.06147274991696981,0.0,0.0
