instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_cf_sensitivity,metric_stability
5,TP,True,2041.1079160003283,0.009259259259259259,0.7888899345129478,0.3328462531122006,0.0,0.06824675591106438
27,FP,False,2103.052624999691,0.009259259259259259,-0.016989055880994353,0.0037562580209623553,0.0,0.09779521246490899
32,FP,False,2010.8106669977133,0.018518518518518517,-0.02730962561570698,0.0016276246667382699,0.0,0.13230801463287778
39,FP,False,2041.1865829992166,0.018518518518518517,0.010166137596468595,0.017864423821340902,0.0,0.05729582144513055
41,FP,False,2047.086375001527,0.018518518518518517,0.04811246848954524,0.06391837402369893,0.0,0.03629266022298366
45,FN,False,1998.60854200233,0.018518518518518517,0.03289072890608624,0.01442230986454246,0.0,0.7489930908968615
52,FN,False,2110.365666998405,0.018518518518518517,0.3965201624993479,0.14600759099439733,0.0,0.1492321015374214
83,FN,False,2022.4484999998822,0.018518518518518517,0.35758733541787613,0.0760270042815287,0.0,0.6175250360287807
93,FP,False,2067.802916997607,0.018518518518518517,2.6363071074279876e-05,0.15885546503327197,0.0,0.15561347259071429
116,TP,True,2037.0950839987927,0.009259259259259259,0.9999918470986309,0.8415719772450128,0.0,0.46598187704457356
120,FP,False,2016.4793330004613,0.018518518518518517,0.5513771929137543,0.11744841081153168,0.0,0.2427583152666006
136,TP,True,16272.671167000226,0.018518518518518517,0.09469180653687356,0.13714397870963313,0.0,0.06337412694400651
161,TP,True,2047.6602500002627,0.018518518518518517,0.23895906002933587,0.11935581988771748,0.0,0.1653356406442372
162,FN,False,2008.1522920008865,0.009259259259259259,-0.017304085325440626,0.006136367025462552,0.0,0.08272984744355943
185,FN,False,2001.9706249986484,0.018518518518518517,-0.020505321912939117,0.001360105475362014,0.0,0.46441757494857366
191,TP,True,2031.4628340001946,0.018518518518518517,-0.036718993008757,0.027488465173759857,0.0,0.05076121673203224
197,TP,True,2034.6389589994942,0.018518518518518517,-0.010461464508173656,0.0007723726857602475,0.0,0.40830540867990145
200,TP,True,2119.840125000337,0.009259259259259259,-0.019753318187245242,0.01597617863902734,0.0,0.20555934143802287
210,FN,False,1997.8500420002092,0.018518518518518517,0.35357139337648036,0.009597015931478409,0.0,0.8060255296731984
