instance_id,quadrant,prediction_correct,metric_cost,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
8615,TP,True,17.33875006902963,0.618334206358786,0.7577733397483826,1.0,0.5,0.975887173070481
5547,TP,True,16.197165939956903,0.9608325722027715,0.9464322924613953,1.0,0.5,0.9747573504056396
2759,TP,True,15.749000012874603,0.6916139532825938,0.5615720152854919,1.0,0.5,0.9757435002262052
3567,TP,True,15.88162500411272,0.5935479807147984,0.7246115207672119,1.0,0.5,0.9745661684516558
2710,TP,True,15.203375020064414,0.9659627275468029,0.9829838871955872,1.0,0.5,0.9760865914038359
4832,TP,True,15.921250102110207,0.9786130960590289,0.9516192078590393,1.0,0.5,0.9742328795982402
367,TP,True,15.21974999923259,0.7662343927073242,0.6389986276626587,1.0,0.5,0.974672163535572
9561,TP,True,15.699499985203147,0.5687618052623561,0.7233352065086365,1.0,0.5,0.9755767048161305
3065,TP,True,15.250499942339957,0.20488021532298373,0.8703447580337524,1.0,0.5,0.9747823780241301
5818,TP,True,15.319042024202645,0.9258152278943098,0.7308372259140015,0.6,0.16666666666666666,0.9450360062187879
8341,TN,True,15.510834055021405,0.7198328573763862,0.01409154012799263,1.0,0.5,0.9753294479977672
5436,TN,True,14.84145806171,0.43399841404986106,0.11544109880924225,1.0,0.5,0.9770233636732806
9131,TN,True,14.744332991540432,0.5720200626680549,0.007673643529415131,1.0,0.5,0.9746782971421304
941,TN,True,14.913749997504056,0.6627128881284641,0.00613528024405241,1.0,0.5,0.9743003431892046
1755,TN,True,14.984291978180408,0.3051405094932244,0.0012744884006679058,1.0,0.5,0.974105410946391
7650,TN,True,14.795082970522344,0.6646160275974499,0.4215776026248932,1.0,0.5,0.9719915168842354
3387,TN,True,14.729124959558249,0.4189751976833869,0.10072419047355652,1.0,0.5,0.9711419956154879
105,TN,True,15.446332981809974,0.40408231417261764,0.07344762235879898,1.0,0.5,0.9762308771510781
2996,TN,True,15.362708014436066,0.27346031743077914,0.002774852328002453,1.0,0.5,0.9734898108818786
440,TN,True,15.08549996651709,0.3207896781995072,0.0640096515417099,1.0,0.5,0.9756827328978112
8674,FP,False,14.903957955539227,0.7260478384045349,0.4600185751914978,1.0,0.5,0.9753000233767126
1963,FP,False,15.398499905131757,0.6969038242955201,0.8592736124992371,1.0,0.5,0.9724342386701246
6659,FP,False,14.807583065703511,0.6769142508297981,0.6996939778327942,1.0,0.5,0.974330913655348
7942,FP,False,14.805916929617524,0.708291292368333,0.5814799070358276,1.0,0.5,0.9772160873854666
5115,FP,False,14.985749963670969,0.6583949467158408,0.6073640584945679,1.0,0.5,0.9760580739614039
3430,FP,False,14.805583050474524,0.7057713801902468,0.7802504301071167,1.0,0.5,0.9719129182881648
4730,FP,False,14.783708029426634,0.6583400902939331,0.4628622531890869,1.0,0.5,0.9724152433638009
9430,FP,False,14.7737079532817,0.6161755969587336,0.5453118085861206,1.0,0.5,0.9750578617479537
8369,FP,False,15.136041911318898,0.5487858601230519,0.6507940888404846,1.0,0.5,0.9768467744539306
3384,FP,False,15.089708031155169,0.6697299624737193,0.7869505882263184,1.0,0.5,0.9711026913637717
9476,FN,False,14.82729206327349,0.710586200931805,0.33680492639541626,1.0,0.5,0.9741455651409401
7820,FN,False,15.028542024083436,0.6763993957360345,0.3147827088832855,1.0,0.5,0.9731562915697609
2787,FN,False,14.746540924534202,0.751300435804386,0.4701981246471405,1.0,0.5,0.9740661401604152
3250,FN,False,14.884457923471928,0.6194284327074984,0.27216851711273193,1.0,0.5,0.9746670798637048
2891,FN,False,14.755291980691254,0.6163352700658449,0.418122261762619,1.0,0.5,0.9474156303644902
1016,FN,False,15.487750060856342,0.6689868773581501,0.46348774433135986,1.0,0.5,0.9774120631981335
7728,FN,False,15.366791980341077,0.6474539325721758,0.4367321729660034,1.0,0.5,0.9747636835505649
9344,FN,False,14.909832971170545,0.8003918248070141,0.41308724880218506,1.0,0.5,0.9728399118245694
1372,FN,False,15.462207957170904,0.4979041686393612,0.2564402222633362,1.0,0.5,0.9745832524190094
87,FN,False,15.621874947100878,0.7221218619365297,0.28316497802734375,0.8,0.3333333333333333,0.8332581691308087
