instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
4157,TP,True,161.2209000159055,0.5462962962962963,0.9557448969113485,0.84,0.8,0.3333333333333333,0.9932974402933445
2547,TP,True,220.34160001203418,0.5648148148148148,0.7696070871693075,0.89,0.6,0.16666666666666666,0.9856008119131087
7205,TP,True,149.24219995737076,0.5277777777777778,0.9319190463943162,0.88,1.0,0.6666666666666666,0.9902131727495701
3111,TP,True,182.033599819988,0.5462962962962963,0.5000036099711421,0.45,0.8,0.5,0.7479692834374908
2420,TP,True,170.5612000077963,0.5740740740740741,0.8647599104165964,0.61,0.6,0.3333333333333333,0.827086562583332
462,TP,True,193.60899995081127,0.5648148148148148,0.906117483896085,0.72,0.6,0.3333333333333333,0.8835527923230425
4723,TP,True,211.71650011092424,0.5277777777777778,0.9314106799534174,0.69,1.0,0.6666666666666666,0.9581841303042998
2433,TP,True,142.84850005060434,0.5370370370370371,0.8916830154261091,0.66,0.6,0.3333333333333333,0.9150243827786773
232,TP,True,191.67580013163388,0.5277777777777778,0.8455685493248577,0.64,1.0,0.6666666666666666,0.9961735883541587
9080,TP,True,202.58070016279817,0.5370370370370371,0.8786840630280404,0.8999999999999999,0.8,0.3333333333333333,0.9889358617367212
5510,TP,True,202.83810002729297,0.5648148148148148,0.8900513605667125,0.83,0.8,0.5,0.9891048298794605
1499,TP,True,248.49340016953647,0.5370370370370371,0.888742745914081,0.6,0.8,0.5,0.9243080896846044
7070,TP,True,185.6813000049442,0.5092592592592593,0.9278692515466025,0.69,0.8,0.6666666666666666,0.8873743228217006
8141,TP,True,184.88680012524128,0.5185185185185185,0.8627948873796898,0.64,0.6,0.3333333333333333,0.9775244464432158
7052,TP,True,202.7001001406461,0.5,0.9471647097175401,0.64,1.0,0.5,0.9997461927167458
6802,TP,True,226.65530000813305,0.5462962962962963,0.8349932763189383,0.77,0.6,0.3333333333333333,0.989094066823584
