instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_cf_sensitivity,metric_stability
5,FP,False,526.3594999996712,0.018518518518518517,0.31527145151330643,0.20978043709573746,0.0,0.10691937385724053
7,FN,False,567.7887909987476,0.018518518518518517,-0.0005496203838722805,0.012732515368967162,0.0,0.3848761368575389
42,TN,True,571.039959002519,0.018518518518518517,0.20947497905125287,0.035457533551117776,0.0,0.7433462357653453
51,FN,False,528.1402090040501,0.009259259259259259,0.016944200635648523,0.02641348241132574,0.0,0.10033198335247023
66,FP,False,488.35333400347736,0.018518518518518517,0.050592891345696014,0.028814089600570747,0.0,0.026017986549343217
82,FP,False,492.1469170076307,0.009259259259259259,-0.029830068658011046,0.00043185041545024117,0.0,0.11909289835256139
91,FP,False,522.1006669889903,0.009259259259259259,0.4929979927586282,0.17633344358164266,0.0,0.0210499910460875
99,FP,False,530.3296250058338,0.018518518518518517,0.0144714302097729,0.023479278272465876,0.0,0.018345615371429515
104,TN,True,559.6154170052614,0.018518518518518517,0.18269180148426273,0.005420627794495118,0.0,0.9966179315259783
105,FN,False,529.949250005302,0.018518518518518517,0.4555199643461545,0.2529315229315843,0.0,0.02788205789825461
114,FN,False,585.671042004833,0.018518518518518517,-0.05395418539175143,0.021010040176684064,0.0,0.15428366541244998
123,FN,False,528.4616669960087,0.018518518518518517,0.18160443811386826,0.024102034757002178,0.0,0.8537900937295122
149,FN,False,483.5749579942785,0.018518518518518517,0.10484692255196716,0.0454845158711365,0.0,0.031999684443646155
157,FN,False,560.5052089958917,0.009259259259259259,0.007224439599093167,0.0036136889033200614,0.0,0.3578207256116255
160,FP,False,529.109042006894,0.018518518518518517,-0.04388633023736549,0.0015456784098213383,0.0,0.04282340275397594
165,FP,False,515.7437079906231,0.018518518518518517,-0.04704419007266494,0.002861412717354961,0.0,0.06611189586828128
168,FN,False,519.289417003165,0.009259259259259259,0.33406541058570005,0.055585857296151675,0.0,0.12869388435559379
171,FN,False,581.5315000072587,0.009259259259259259,-0.0003268462364836315,0.01340256600041334,0.0,0.2747694307586028
172,FN,False,552.6802910026163,0.018518518518518517,0.2236402008476948,0.04156360535588974,0.0,0.25419812972513167
211,TP,True,490.06950001057703,0.009259259259259259,0.03830379838410302,0.02186949302752139,0.0,0.5102618230381814
214,TN,True,491.3251670077443,0.018518518518518517,0.12302547349894613,0.0023473971806136987,0.0,0.9966607497565216
230,FP,False,525.4458749986952,0.009259259259259259,-0.02958152574014351,0.0022596220702069125,0.0,0.0002016755436718957
231,FN,False,490.6820420001168,0.009259259259259259,0.33705610682994147,0.07617203124597871,0.0,0.16125254177706397
275,FN,False,524.2830839997623,0.009259259259259259,0.001106726985995044,0.007981078816131387,0.0,0.7450733118819848
277,TP,True,610.6647089909529,0.1111111111111111,0.8618545022631473,0.4758912021397739,0.0,0.7031493033880527
288,TN,True,547.7763329981826,0.009259259259259259,0.31416212876404725,0.061877437947270963,0.0,0.06156205023366615
294,FN,False,537.8170830081217,0.009259259259259259,0.019867998623015724,0.006061408544470737,0.0,0.08279727705247723
311,TP,True,500.1884999946924,0.018518518518518517,-0.046774116339459514,0.011032629266875205,0.0,0.030906785522142634
314,FP,False,557.5130829965929,0.018518518518518517,0.5111545694747972,0.17916132613839986,0.0,0.06549809344659319
315,FP,False,527.4971250037197,0.018518518518518517,0.43711211970182906,0.10441852166297916,0.0,0.4256013649987882
318,FP,False,563.6371670116205,0.09259259259259259,0.9220865346375476,0.554505078699049,0.0,0.8940380832072571
333,FP,False,527.2901670105057,0.018518518518518517,-0.030565038008672316,0.003596259776180055,0.0,0.013979176083702215
340,FP,False,537.5830419943668,0.018518518518518517,0.6554273470137515,0.18699583800137232,0.0,0.5210957064788206
357,FN,False,536.2959159974707,0.009259259259259259,0.3068614849380287,0.04483423594501659,0.0,0.31969586749528106
358,FN,False,557.2600420127856,0.018518518518518517,-0.049493938421043576,0.0007146322731013399,0.0,0.15131863886270747
371,FP,False,528.6492919985903,0.018518518518518517,-0.04699512887069447,0.0021896489411225017,0.0,0.01834070672237402
372,TP,True,645.5900000000838,0.018518518518518517,0.005334839947328621,0.018979387369258083,0.0,0.26753545897576797
387,FN,False,530.9958750003716,0.009259259259259259,0.2100037130466791,0.07673522835056884,0.0,0.16458974319550274
397,TN,True,607.6655829965603,0.018518518518518517,0.19481782856330318,0.07113432351471455,0.0,0.36350221341876243
440,TN,True,538.5893749917159,0.018518518518518517,0.15440526138690142,0.001110533492220081,0.0,0.985732000555001
445,TP,True,859.6924580051564,0.027777777777777776,0.4543347702767686,0.04704095340190673,0.0,0.9371608240669607
454,FN,False,487.3538340034429,0.009259259259259259,0.01513055351744618,0.00519905227945161,0.0,0.2983557924427295
466,FP,False,485.5401250097202,0.009259259259259259,-0.02721163793105612,0.0004752155278781034,0.0,0.02447285961256488
484,TN,True,886.9571249961155,0.018518518518518517,0.2114336779189566,0.013720074583924345,0.0,0.9935644485596108
507,FP,False,495.70029199821874,0.018518518518518517,0.41934905886122154,0.16058230963410003,0.0,0.15584801561033287
512,FP,False,488.0034170055296,0.018518518518518517,0.7567677987224593,0.3080262668601349,0.0,0.2498284159446433
524,TP,True,523.1589580071159,0.018518518518518517,-0.04728804263330694,0.0024601130281158845,0.0,0.05269218557861263
526,FN,False,488.64029100514017,0.018518518518518517,0.19166956351372322,0.08080310974102106,0.0,0.2139922570798449
528,TN,True,490.57812499813735,0.009259259259259259,0.1398205344721634,0.0016957577158043264,0.0,0.9949584077063466
533,FP,False,486.36920801072847,0.018518518518518517,0.4090933195419816,0.1842359229188033,0.0,0.2580117895521011
542,FP,False,537.5761670002248,0.018518518518518517,0.03554742994139547,0.23827766068806877,0.0,0.009523809523809525
548,TN,True,588.9603749965318,0.018518518518518517,0.13110389026058875,0.001019043131711184,0.0,0.9941391298090387
582,FN,False,521.1600409966195,0.009259259259259259,0.20467782607461013,0.040075132423703724,0.0,0.643050264014642
591,TN,True,526.2069169984898,0.018518518518518517,0.1571273374159,0.014417398244505344,0.0,0.9916004623472359
601,FN,False,517.6552089978941,0.018518518518518517,-0.027462324003798236,0.008040475167071515,0.0,0.08850403160270957
602,TN,True,586.4515410066815,0.018518518518518517,0.1019461484561615,0.007040091583814599,0.0,0.9885776734606065
608,TP,True,832.3253339913208,0.009259259259259259,-0.03145745624627007,0.0033312501260672756,0.0,0.027683600344055412
619,TN,True,513.1574580009328,0.009259259259259259,0.15866429474474086,0.0013988102914449596,0.0,0.9895066573528403
625,FP,False,583.844875000068,0.018518518518518517,0.31371105964122886,0.17233981657342118,0.0,0.043560785761834184
654,TN,True,499.39187499694526,0.018518518518518517,0.28495797492799235,0.04231016309803634,0.0,0.8233856777684622
661,FP,False,494.7664170031203,0.018518518518518517,0.013767131820093618,0.02581227017694021,0.0,0.07526939799339516
671,FP,False,509.2843750026077,0.018518518518518517,-0.05196851682945888,0.011840553847415003,0.0,0.011338076639970288
692,TN,True,529.8956249898765,0.009259259259259259,0.16090107580632704,0.006743700427276147,0.0,0.9799024435768243
696,TN,True,485.91716699593235,0.018518518518518517,0.15670271048977424,0.003621602240624619,0.0,0.9772437101506046
699,FN,False,493.1433330057189,0.018518518518518517,0.014076835738575714,0.009175383951951194,0.0,0.4504973891733724
725,TP,True,609.3880419939524,0.08333333333333333,-0.0007791102403791623,0.008248104468635331,0.0,0.30547766849950064
730,FN,False,481.80683399550617,0.009259259259259259,0.22208571792144693,0.024519705008237545,0.0,0.8594023878999764
755,TP,True,602.5900409877067,0.018518518518518517,-0.021388148341719697,0.005583722885652342,0.0,0.04783062984726481
757,FP,False,489.98366700834595,0.018518518518518517,-0.014990064815030237,0.01278827899469237,0.0,0.4261821699077937
777,TP,True,493.43833299644757,0.018518518518518517,-0.03829615179310841,0.0028573699021134935,0.0,0.04302595519833388
786,FP,False,493.0486669909442,0.009259259259259259,0.0026742214949982265,0.02084964824252672,0.0,0.018564806181499114
789,FN,False,527.1179999981541,0.018518518518518517,0.001506528526445393,0.016518573598204217,0.0,0.13308731943353563
790,TP,True,1124.409875003039,0.018518518518518517,0.42072438853332284,0.22961308191625684,0.0,0.04450345262153979
799,TP,True,531.1563750001369,0.009259259259259259,0.5754704563611616,0.19784954107099528,0.0,0.07984990921296214
816,FP,False,581.8977080052719,0.018518518518518517,0.634501075792066,0.227666689850485,0.0,0.12278045695195777
859,FN,False,574.6399170020595,0.009259259259259259,0.18867043709185247,0.06567264806135403,0.0,0.08388706743341645
905,FP,False,529.1464580077445,0.018518518518518517,0.4113186836377969,0.07824450102112246,0.0,0.7034182670203296
933,TN,True,561.8339999928139,0.018518518518518517,0.019943672200954388,0.00021629511739683924,0.0,0.9505868005967625
959,TN,True,525.3022910037544,0.018518518518518517,0.19262602409399388,0.06234550601074795,0.0,0.28963620505498033
960,TP,True,768.9817920036148,0.018518518518518517,0.4632783453708146,0.17249231758101347,0.0,0.1478817957269789
979,TP,True,498.0190830101492,0.018518518518518517,0.023542543003355183,0.036193819140345806,0.0,0.02597926025163624
999,FP,False,512.5895829987712,0.018518518518518517,-0.04668386796607117,0.003433652231139117,0.0,0.025380410729506662
1007,FN,False,518.330666993279,0.018518518518518517,-0.02559285353256851,0.020889907989357026,0.0,0.06643780817644095
1039,TN,True,541.7945839872118,0.018518518518518517,0.3031807201468313,0.044896093736224885,0.0,0.4697825848389553
1056,FP,False,485.53229100070894,0.018518518518518517,-0.04105987695184046,0.0021036709385600094,0.0,0.005088389456037082
1062,FP,False,532.2464580094675,0.009259259259259259,-0.03395532491903397,0.004110159146710424,0.0,0.011261735347068967
1065,TN,True,531.4865840045968,0.009259259259259259,0.19106335442945546,0.006550617561130883,0.0,0.9968302848895833
1072,FN,False,487.50154199660756,0.018518518518518517,-0.022297135568232457,0.023078409106025988,0.0,0.02873259056095358
1078,FN,False,521.0024580010213,0.018518518518518517,0.20582665038729356,0.050577717766912805,0.0,0.5442368918358463
1094,TP,True,613.5931669996353,0.018518518518518517,-0.03894643339792321,0.0031086258514988474,0.0,0.06760750167219982
1098,FP,False,531.9946250092471,0.009259259259259259,0.23313164249856655,0.09724801993362886,0.0,0.0012708956032170722
1140,FN,False,507.529666996561,0.018518518518518517,0.35296489951297044,0.18359312871822409,0.0,0.0923468740524869
1152,TN,True,532.9279590077931,0.018518518518518517,0.26751502249153625,0.01384119211883944,0.0,0.9890909253787066
1200,FN,False,490.91312500240747,0.009259259259259259,0.3317110346079542,0.06385168422878695,0.0,0.1898951644689389
1240,TP,True,538.410749999457,0.018518518518518517,0.9038546648721746,0.6947314317940586,0.0,0.40437227107503526
1244,TP,True,777.9659170046216,0.06481481481481481,0.8599008035831804,0.46465246892819645,0.0,0.6082602857944661
