instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_cf_sensitivity,metric_stability
87,FN,False,728.5086250049062,0.018518518518518517,-0.025249718052340622,0.0,0.0,0.3907248108678201
105,TN,True,784.4765409827232,0.018518518518518517,0.24894081531300563,0.05683479458093643,0.0,0.9784044217931073
367,TP,True,1659.8545829765499,0.009259259259259259,0.6318826258552869,0.34861478209495544,0.0,0.45949656172453707
440,TN,True,787.8129170276225,0.009259259259259259,0.2137159211860198,0.047454833984375,0.0,0.9890644522524427
941,TN,True,781.1579169938341,0.018518518518518517,0.5669331387518394,0.015103371813893318,0.0,0.9952739741051098
1016,FN,False,836.95170894498,0.018518518518518517,0.5195517285207069,0.26429998874664307,0.0,0.7937924549953521
1372,FN,False,732.2104999911971,0.018518518518518517,0.7280366520055658,0.3694651424884796,0.0,0.4434011424051999
1755,TN,True,729.8940000473522,0.009259259259259259,-0.014133248478531627,0.0,0.0,0.8943664468827938
1963,FP,False,812.7821660018526,0.018518518518518517,0.1864229024732384,0.08403897285461426,0.0,0.07787413475701586
2710,TP,True,1683.2173750153743,0.027777777777777776,0.8122686126169061,0.8739892244338989,0.0,0.209469336906882
2759,TP,True,1607.9126669792458,0.018518518518518517,-0.02803495424174097,0.0,0.0,0.333326965624794
2787,FN,False,825.4413329996169,0.018518518518518517,-0.02433717718251453,0.0,0.0,0.3685118300526372
2891,FN,False,772.5371670094319,0.018518518518518517,-0.03225572934408405,0.0,0.0,0.7522674624255472
2996,TN,True,863.1377499550581,0.037037037037037035,0.5938660276436142,0.000987913808785379,0.0,0.5719344317764482
3065,TP,True,1628.3481249702163,0.009259259259259259,0.8567492450788015,0.6119492650032043,0.0,0.2153675617837021
3250,FN,False,818.1017080205493,0.009259259259259259,0.6141033778377998,0.2636810541152954,0.0,0.9368248612105355
3384,FP,False,795.8160000271164,0.018518518518518517,0.24927444334048315,0.15281331539154053,0.0,0.17018791445307094
3387,TN,True,764.4982089987025,0.018518518518518517,0.31061712969612176,0.06793808937072754,0.0,0.9888601734135539
3430,FP,False,824.7762919636443,0.018518518518518517,0.32912524553961653,0.18101871013641357,0.0,0.2728644413437765
3567,TP,True,1545.9478750126436,0.018518518518518517,0.31630849062294625,0.5695694088935852,0.0,0.6219339450025171
4730,FP,False,824.2395420093089,0.009259259259259259,0.6481880179491619,0.3820093870162964,0.0,0.9910232272830678
4832,TP,True,1775.7213749573566,0.06481481481481481,0.34547778051532047,0.6181390285491943,0.0,0.4059137619075489
5115,FP,False,913.0214169854298,0.018518518518518517,0.4682984267949723,0.4547003507614136,0.0,0.2877813940753509
5436,TN,True,761.921291006729,0.018518518518518517,0.3536193859189796,0.08100736141204834,0.0,0.9917579141006247
5547,TP,True,1530.424208031036,0.018518518518518517,0.9928774532720123,0.946672797203064,0.0,0.3686523688023642
5818,TP,True,1689.8683329927735,0.027777777777777776,0.9949545222983184,0.7388975024223328,0.0,0.5194228002525354
6659,FP,False,820.5685840221122,0.018518518518518517,0.719346443140565,0.48346397280693054,0.0,0.6027173317916161
7650,TN,True,733.5337499971502,0.018518518518518517,-0.020191383783718986,0.0,0.0,0.75260703210076
7728,FN,False,778.3828749670647,0.009259259259259259,0.4470140073292248,0.2660059928894043,0.0,0.6089073446949611
7820,FN,False,862.8318340051919,0.018518518518518517,0.23068127570918417,0.0917046070098877,0.0,0.591413176283728
7942,FP,False,832.4834579834715,0.018518518518518517,0.2061712601773775,0.11666196584701538,0.0,0.46273519684250064
8341,TN,True,1695.956416951958,0.018518518518518517,0.6679760467132377,0.011021692305803299,0.0,0.36551576690993615
8369,FP,False,811.1522500403225,0.018518518518518517,-0.02295841344180186,0.0,0.0,0.14687193277922303
8615,TP,True,1574.7876670211554,0.018518518518518517,0.5526936578138617,0.4596636891365051,0.0,0.15587101983064988
8674,FP,False,719.1139580099843,0.018518518518518517,0.12042585067906296,0.062207192182540894,0.0,0.33241725443422904
9131,TN,True,683.9508339762688,0.018518518518518517,0.48049940302845434,0.01512361690402031,0.0,0.9915812179272965
9344,FN,False,670.0059580034576,0.018518518518518517,0.1922792377740959,0.11622637510299683,0.0,0.24623910317626188
9430,FP,False,737.0572910294868,0.018518518518518517,0.05084585425428048,0.06892445683479309,0.0,0.48531785804927596
9476,FN,False,769.3829999770969,0.018518518518518517,-0.019697191617838596,0.0,0.0,0.613962644409971
9561,TP,True,1687.6687500043772,0.018518518518518517,0.8606677262282677,0.559027910232544,0.0,0.07519964673802847
