experiment,n_runs,cost_mean,cost_std,cost_cv,sparsity_mean,sparsity_std,sparsity_cv,fidelity_mean,fidelity_std,fidelity_cv,faithfulness_gap_mean,faithfulness_gap_std,faithfulness_gap_cv,domain_precision_mean,domain_precision_std,domain_precision_cv,domain_recall_mean,domain_recall_std,domain_recall_cv,stability_mean,stability_std,stability_cv
exp1_adult_rf_lime,9,38.522225113896035,0.8178562828164743,0.02123076432886144,0.09222222222222226,0.0004833475235606835,0.005241117725356807,0.2861029161415262,0.018133838241127263,0.06338222093533999,0.3228433333333333,0.011162303283074389,0.034574984615059076,0.8326666666666666,0.011747340124470713,0.01410809462506491,0.35500000000000004,0.01080123449734641,0.030426012668581436,0.33704833379532645,0.018335303004156332,0.05439962511516374
exp1_adult_rf_shap,9,223.01890022431812,50.16882773529268,0.22495325591163615,0.5221810699588478,0.022987503273230406,0.044022092327173044,0.7371799041662567,0.014841899395962022,0.020133347792148603,0.397722037037037,0.014209013272532751,0.03572598938290555,0.7844444444444442,0.02101851036057928,0.026794135020568495,0.4316666666666667,0.020052015692526647,0.04645254600585323,0.9423845804797067,0.009774542198526085,0.010372137236743094
exp1_adult_xgb_lime,9,9.306650217622519,0.17532287351969025,0.01883845093777236,0.09230452674897122,0.0003416040682280652,0.003700837654008909,0.5076088571802757,0.025004518622869603,0.04925942144068878,0.40925412038134207,0.011961082548605758,0.02922654153722496,0.9326666666666666,0.010099504938362026,0.010828632886020756,0.4162962962962963,0.008731240914167599,0.020973621413036048,0.2563656472536484,0.021172759422076012,0.08258813007472747
exp1_adult_xgb_shap,9,203.79578366565207,33.64895639127294,0.16511115090819303,0.092582304526749,3.086419753085823e-05,0.00033337037448598946,0.7858487330615529,0.024198771475823094,0.03079316725694547,0.4142217724371908,0.009677344581802867,0.02336271346835169,0.9600000000000001,0.011045361017187215,0.011505584392903348,0.5220370370370371,0.016951273669324828,0.03247140043077477,0.5863159480703302,0.019085089498825182,0.032550861974056135
