instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability
33,TN,True,722.7826659800485,0.5277777777777778,0.3234534310245246,0.019999999999999997,0.9955735264847403
57,TN,True,223.0390000040643,0.5277777777777778,0.6652818226407564,0.27,0.8981021719113843
69,TP,True,317.97575001837686,0.5185185185185185,0.9320379736826296,0.74,0.7755506464282098
212,TP,True,630.6727079791017,0.5092592592592593,0.8413195490650798,0.6799999999999999,0.8756656787580698
233,FN,False,530.1070419955067,0.5185185185185185,0.8281483265880026,0.27999999999999997,0.8860399473339988
279,TN,True,672.5996249588206,0.48148148148148145,0.4228629377291552,0.06,0.9169175626304001
345,FP,False,399.69495800323784,0.5462962962962963,0.8211191278079888,0.73,0.9807726686087066
356,TN,True,513.2992500439286,0.49074074074074076,0.2490126198637186,0.039999999999999994,0.997146368791603
396,TN,True,234.13641698425636,0.5185185185185185,0.6045934776194571,0.08,0.9648553673234984
479,TN,True,728.2372089684941,0.5185185185185185,0.5473135706774906,0.03,0.9896837590201144
504,TP,True,723.9280000212602,0.5277777777777778,0.8554365080685002,0.94,0.995596087998007
506,FN,False,173.53154200827703,0.5370370370370371,0.7359551777976794,0.35,0.9747603689392207
531,FP,False,844.9273750302382,0.5277777777777778,0.8000517180957976,0.5399999999999999,0.8864492458723932
540,TP,True,217.11312502156943,0.5185185185185185,0.9198480334680965,0.76,0.7832264191421744
595,FP,False,296.82537500048056,0.5277777777777778,0.9692951316606395,0.51,0.9606899961661576
597,TP,True,693.3491250383668,0.5092592592592593,0.8681186963080578,0.75,0.9477550882821215
637,FP,False,669.3650410161354,0.5277777777777778,0.847046652288448,0.62,0.9881644421352045
670,TN,True,524.2576249875128,0.5092592592592593,0.5488517391835925,0.09,0.7940310777360454
881,TN,True,180.689083004836,0.5462962962962963,0.6963812490095165,0.22,0.9752937692562214
908,FN,False,251.56283302931115,0.5185185185185185,0.6340699749114581,0.4,0.9725148650019211
1018,FN,False,560.0086249760352,0.49074074074074076,0.4475717926348348,0.04,0.9803795184346321
1019,TN,True,321.8944580294192,0.5648148148148148,0.8649527703419639,0.12,0.9322078821977157
1024,FP,False,751.2913750251755,0.5277777777777778,0.9134241274803995,0.5599999999999999,0.933692167976044
1179,FN,False,264.7716670180671,0.5370370370370371,0.6893707830313169,0.02999999999999997,0.881171156722036
1269,FN,False,491.29908304894343,0.5462962962962963,0.7704430065627635,0.09,0.7739586941488503
1314,FN,False,220.00054200179875,0.5092592592592593,0.6547411223399568,0.24999999999999997,0.9923858578382267
