instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
40,,,,,,,,-1,1
51,,,,,,,,-1,1
66,,,,,,,,-1,1
99,,,,,,,,-1,1
101,TN,True,246422.28846496437,0.09259259259259259,0.3042933686080735,0.05822504297851086,0.9347359444581722,,
143,,,,,,,,-1,1
157,,,,,,,,-1,1
171,,,,,,,,-1,1
172,,,,,,,,-1,1
241,,,,,,,,-1,1
275,,,,,,,,-1,1
294,,,,,,,,-1,1
360,TN,True,236132.90644902736,0.09259259259259259,0.33235562291853943,0.03380103678456087,0.9563920151012849,,
389,TN,True,531620.1046309434,0.09259259259259259,0.33407255992171675,0.10067903360708834,0.9319410385701876,,
422,TN,True,464217.38810418174,0.09259259259259259,0.9640525637320095,0.2716997851014344,0.897295673240685,,
431,TN,True,233759.67700686306,0.09259259259259259,0.7371850970742926,0.1083154616255547,0.9519417560682997,,
466,,,,,,,,-1,1
476,,,,,,,,-1,1
483,TP,True,453615.1926199673,0.09259259259259259,0.9746504474791653,0.6838340983036831,0.9851023293041946,,
497,,,,,,,,-1,1
539,,,,,,,,-1,1
603,,,,,,,,-1,1
615,TN,True,224190.93183008954,0.09259259259259259,0.2363042926766411,0.06234507308834799,0.9757436054886018,,
616,,,,,,,,-1,1
704,,,,,,,,-1,1
725,TP,True,384221.45186399575,0.09259259259259259,0.9752329787855764,0.7304625655833106,0.9960163924065197,,
797,TP,True,391495.41137903,0.09259259259259259,0.9696821817615375,0.6433794963449152,0.9641383885677144,,
833,,,,,,,,-1,1
854,TN,True,267353.94953610376,0.09259259259259259,0.9326785890538528,0.05404638175224295,0.8941656040391209,,
855,,,,,,,,-1,1
886,TN,True,229604.06489786692,0.09259259259259259,0.44983636992100123,0.03626440206871222,0.9630028032759046,,
916,TN,True,460379.20950283296,0.09259259259259259,0.38171267434257783,0.0217240526408142,0.9708295017725457,,
918,,,,,,,,-1,1
985,TP,True,298253.8409099798,0.09259259259259259,0.9927420418899211,0.6885573771057395,0.9946679429626466,,
1004,,,,,,,,-1,1
1044,,,,,,,,-1,1
1057,TN,True,439896.42642601393,0.09259259259259259,0.25056796673208137,0.020395140746164248,0.9584227954486808,,
1062,,,,,,,,-1,1
1072,,,,,,,,-1,1
1078,,,,,,,,-1,1
1093,TN,True,338580.20580606535,0.09259259259259259,0.8942170557067035,0.1028910216479673,0.9426536671966889,,
1094,TP,True,521575.15297300415,0.09259259259259259,0.973542950516872,0.7689584978722743,0.9771820806066799,,
