instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
7772,TP,True,9.74040012806654,0.09259259259259259,0.469886056619823,0.5701943039894104,0.8,0.3333333333333333,0.060898771547021446
9207,TP,True,8.953299839049578,0.09259259259259259,0.983600708389163,0.9585731625556946,1.0,0.3333333333333333,0.748791586967177
8514,TP,True,9.35319997370243,0.09259259259259259,0.9686616424639138,0.9528247714042664,1.0,0.5,0.40313051015774337
5644,TP,True,9.209400042891502,0.09259259259259259,0.9720966029583838,0.9716084003448486,1.0,0.5,0.519275813445884
5586,TP,True,9.224600158631802,0.09259259259259259,0.5106885905883806,0.4938703775405884,1.0,0.5,0.1551636396054675
9396,TP,True,8.395799901336432,0.09259259259259259,0.3850055694315711,0.7178848385810852,1.0,0.3333333333333333,0.2449018974353125
4110,TP,True,9.156899992376566,0.09259259259259259,0.5466445936912945,0.7672632932662964,1.0,0.5,0.18851893646614204
1050,TP,True,9.552800096571445,0.09259259259259259,0.488703190444708,0.5413876175880432,1.0,0.5,0.09113549963237869
1018,TP,True,9.736300213262439,0.09259259259259259,0.5206080031734862,0.5980103015899658,1.0,0.5,0.10609765165701533
3085,TP,True,11.447199853137136,0.09259259259259259,0.9732580719194779,0.9519258737564087,1.0,0.5,0.27759666680523226
6192,TP,True,10.075400117784739,0.09259259259259259,0.9603999532115222,0.9542006850242615,1.0,0.5,0.7158076019528683
3983,TP,True,10.340600041672587,0.09259259259259259,0.5908854842716572,0.6145861148834229,1.0,0.3333333333333333,0.41963282094606263
5776,TP,True,10.044399881735444,0.09259259259259259,0.43133447342885073,0.48104655742645264,1.0,0.3333333333333333,0.11484095471155163
1942,TP,True,9.80850006453693,0.09259259259259259,0.45684445097549375,0.5546647310256958,1.0,0.5,0.1711877865276482
8173,TP,True,10.18429989926517,0.09259259259259259,0.5276486729811669,0.6448891162872314,1.0,0.5,0.1817095177734975
2664,TP,True,9.275200078263879,0.09259259259259259,0.4197236539808448,0.6462559700012207,1.0,0.5,0.35581364081123446
2882,TP,True,6.756599992513657,0.09259259259259259,0.9672544803789246,0.9681907296180725,1.0,0.5,0.5539320512977903
958,TP,True,7.204200141131878,0.09259259259259259,0.47907165457414447,0.5565783381462097,1.0,0.3333333333333333,0.1908519868661376
4238,TP,True,6.81839999742806,0.09259259259259259,0.24498815594026038,0.8122203946113586,1.0,0.5,0.08508499763169869
