instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
5990,TP,True,260.50640014000237,0.5,0.6482700966490844,0.73,0.6,0.16666666666666666,0.7531335811263021
1906,TP,True,412.93669980950654,0.5092592592592593,0.9593184647533173,0.6699999999999999,0.8,0.5,0.9892802306852572
1788,TP,True,251.19860004633665,0.49074074074074076,0.9549104926654028,0.7,0.8,0.3333333333333333,0.9838591152735763
6060,TP,True,227.00380021706223,0.5,0.9666433371009782,0.72,0.8,0.3333333333333333,0.9994647760724101
6829,TP,True,190.6381999142468,0.5092592592592593,0.8998142873474604,0.85,0.8,0.5,0.9955843724212609
5004,TP,True,187.08649999462068,0.49074074074074076,0.8359550295686636,0.74,0.6,0.3333333333333333,0.9376721984693458
2720,TP,True,171.2531999219209,0.4722222222222222,0.9949225413168277,0.72,0.8,0.3333333333333333,0.9994420844864951
4758,TP,True,191.87480001710355,0.5370370370370371,0.9223041479546557,0.75,0.8,0.5,0.9853586570292768
1519,TP,True,219.04080011881888,0.5370370370370371,0.8245326797424287,0.47,0.8,0.5,0.9765313122804444
6638,TP,True,218.30280008725822,0.49074074074074076,0.7917650382342145,0.5499999999999999,1.0,0.6666666666666666,0.9941350029716716
2065,TP,True,193.48999997600913,0.5277777777777778,0.8931048120820242,0.56,0.8,0.5,0.85936970210995
5978,TP,True,227.73140016943216,0.5,0.9212106539324489,0.82,1.0,0.6666666666666666,0.9925671498357379
3903,TP,True,203.31440004520118,0.5277777777777778,0.8569730300476006,0.5249999999999999,1.0,0.6666666666666666,0.9858324574465814
4044,TP,True,216.20810008607805,0.5,0.4445591716473202,0.49,0.8,0.5,0.9911892312435943
4732,TP,True,203.5323001910001,0.5,0.9900601751570373,0.51,0.8,0.3333333333333333,0.9993489971962308
6871,TP,True,199.52689995989203,0.5,0.9623468629860763,0.84,1.0,0.5,0.9987766481171769
6272,TP,True,204.07719979994,0.5462962962962963,0.9547499823632426,0.7000000000000001,1.0,0.6666666666666666,0.9946638376263868
9725,TP,True,177.96520004048944,0.5092592592592593,0.9491668701491102,0.5499999999999999,0.6,0.3333333333333333,0.9903883950621905
5843,TP,True,240.4643998015672,0.5370370370370371,0.9186073171661844,0.61,0.8,0.5,0.9728216571999855
6302,TP,True,270.5375000368804,0.5370370370370371,0.6280286334425657,0.37000000000000005,0.8,0.5,0.9882225653041113
1961,TP,True,205.95100009813905,0.49074074074074076,0.9495868859166141,0.9299999999999999,1.0,0.6666666666666666,0.9992220243470769
2219,TP,True,221.10439999960363,0.46296296296296297,0.6215466613791898,0.5800000000000001,0.8,0.5,0.9801320926398048
5693,TP,True,189.376600086689,0.5,0.9923649007221653,0.7999999999999999,0.6,0.16666666666666666,0.9928001682480841
9757,TP,True,270.39290009997785,0.48148148148148145,0.9458433985037108,0.6299999999999999,0.8,0.3333333333333333,0.9860024643065013
9477,TP,True,250.14930008910596,0.5185185185185185,0.6895911835543146,0.5800000000000001,1.0,0.5,0.9996960806344751
7058,TN,True,129.93990001268685,0.4722222222222222,0.06272416575719181,0.0,0.6,0.16666666666666666,0.9851318571446049
1531,TN,True,151.33429993875325,0.4351851851851852,0.15353043652244786,0.01,0.8,0.3333333333333333,0.9896136415502153
7203,TN,True,161.9213002268225,0.48148148148148145,0.5424797567656847,0.12000000000000001,1.0,0.5,0.9960767445521514
311,TN,True,143.0055999662727,0.48148148148148145,0.11495783562901613,0.0,0.6,0.16666666666666666,0.9800052939295401
5228,TN,True,186.20479991659522,0.4444444444444444,0.21147852933004593,0.019999999999999997,0.4,0.0,0.9807328795292547
8308,TN,True,149.31630017235875,0.42592592592592593,0.127528942622716,0.0,0.8,0.3333333333333333,0.9884784526341021
1562,TN,True,147.92010001838207,0.4722222222222222,0.8144621362086661,0.17,0.8,0.3333333333333333,0.9139997972815969
2693,TN,True,190.0675999931991,0.5370370370370371,0.8771169305605259,0.35,0.8,0.3333333333333333,0.9727272027844325
9207,TN,True,118.16690000705421,0.4166666666666667,0.0,0.0,1.0,0.5,0.9994587288604905
2326,TN,True,142.74000003933907,0.4444444444444444,0.5555807271105444,0.02,0.8,0.3333333333333333,0.9991925781827343
2778,TN,True,133.32270015962422,0.4722222222222222,0.4838971132762097,0.07,0.8,0.3333333333333333,0.9899874382278984
4137,TN,True,166.7154999449849,0.4537037037037037,0.23255834830857855,0.0,0.6,0.16666666666666666,0.9794395192187149
6687,TN,True,183.16480005159974,0.4722222222222222,0.7024334780656495,0.14,0.6,0.3333333333333333,0.990514678260402
5399,TN,True,137.36249995417893,0.4444444444444444,0.5833979832928007,0.04,0.6,0.16666666666666666,0.9897216217956439
40,TN,True,142.22009992226958,0.49074074074074076,0.18475845876869323,0.020000000000000004,0.8,0.3333333333333333,0.9657896375217541
5374,TN,True,144.94269993156195,0.4166666666666667,0.40713356777674664,0.03,0.6,0.16666666666666666,0.9918042381630353
