masking_scheme,metric,n_pairs,lime_mean,shap_mean,mean_delta_shap_minus_lime,median_delta_shap_minus_lime,positive_pairs,wilcoxon_p,dz,holm_p
zero,topk_gap,5,0.2551838398508748,0.35303171890814095,0.09784787905726616,0.11306523984245065,5,0.0625,3.3513186232502497,0.5
zero,top_feature_corr,5,-0.009840157179456088,0.5055093458548869,0.515349503034343,0.5260845152177642,5,0.0625,4.61489936712396,0.5
mean,topk_gap,5,0.2549383486793036,0.35254614311685295,0.09760779443754938,0.11393597846502865,5,0.0625,3.1410984654143896,0.5
mean,top_feature_corr,5,-0.010521548552936705,0.5016892002378129,0.5122107487907496,0.5093799080786066,5,0.0625,4.423728593761824,0.5
marginal,topk_gap,5,0.2255146227510346,0.30628695267937023,0.08077232992833566,0.07913835132306951,5,0.0625,4.469253704655919,0.5
marginal,top_feature_corr,5,-0.07277807109888232,0.5521257282541058,0.624903799352988,0.6677420998404481,5,0.0625,6.222657141950426,0.5
grouped_mean,topk_gap,5,0.3429938161125678,0.39619830198891465,0.053204485876346866,0.05514759960967752,5,0.0625,1.7405679152019224,0.5
grouped_mean,top_feature_corr,5,-0.2617739673955523,0.2318053538324763,0.4935793212280286,0.42470842804935205,5,0.0625,4.594781255467709,0.5
