experiment,dataset,explainer,runs,fidelity_mean,fidelity_std,stability_mean,stability_std,sparsity_mean,sparsity_std,faithfulness_gap_mean,faithfulness_gap_std,cost_mean,cost_std,duration_s_mean,duration_s_std
exp1,adult,lime,2,0.3079,0.2004,0.10355,0.01745,0.0926,0.0,0.2499707448949572,0.07277074489495718,31.025199999999998,11.8356,72.598498,29.825024000000003
exp1,adult,shap,2,0.46255,0.11624999999999999,0.6990000000000001,0.2474,0.34295,0.11435,0.24583197311563385,0.009442578755482406,0.1047,0.08600000000000001,4.948259,4.406179
exp2,adult,anchors,57,0.38799022216727624,0.09752553636537657,0.05209658149860999,0.12116108414024787,0.08430021135615544,0.058573911723120035,0.23567256171324766,0.040806609936597266,38094.15692963974,62156.07856419969,17212.022822385963,27260.824559718567
exp2,adult,dice,68,0.17156939522432887,0.10233560948525401,0.36607816628757717,0.14745661553329456,0.016639874963414857,0.002496789421956012,0.09588250579034199,0.04821110820396319,2056.2948827642276,2947.541162448094,12059.722406500001,19815.007643680576
exp2,adult,lime,75,0.5601929678586287,0.06654310075579922,0.014404926494075277,0.012700574278890332,0.08464706951199213,0.0013080594786511216,0.3342173899081752,0.02865814521686675,226.458337715695,661.2388851121414,1444.4132957333334,3310.7042294288512
exp2,adult,shap,75,0.808083098828618,0.09173404170531514,0.7320296911218906,0.24191897745805088,0.22641877843158448,0.16757244522204484,0.37955967512529754,0.031845089028886116,11034.69240883653,22361.308003878137,77322.20631032,166262.53347451822
exp3,breast_cancer,anchors,6,0.23637751381689126,0.06895619261989973,0.3919165271025323,0.09114469145402601,0.0689083820662768,0.0004674299730324285,0.09567747469269808,0.022375778718007087,3228.137729093616,1147.1310610006399,4635.846287166667,2079.378876125088
exp3,breast_cancer,shap,6,0.6925032507293519,0.1012362155917682,0.953118171632659,0.012222687441921726,0.6559454191033138,0.3226180190617093,0.31316734181068245,0.0688061630430649,1003.7481952916453,1.9331582182163065,231.86202466666666,106.544593181579
exp3,german_credit,anchors,6,0.4008550246211541,0.05191483432355303,0.67468665340045,0.0218605441996879,0.09118747064799407,0.02391803992245424,0.1627411275529162,0.05442534348521091,2260.620533831135,996.285679140908,4733.106646333334,2988.1318645333736
exp3,german_credit,shap,6,0.7122468296399218,0.02880622388381036,0.7933465786931193,0.19204524582164326,0.8568170912980535,0.05730906708211866,0.18578494379173757,0.03784526936109348,1002.5169818945619,1.1348363734336893,193.7687715,10.755427182710498
