experiment,dataset,model,explainer,seed,n,source,path,fidelity,stability,sparsity,faithfulness_gap,cost,duration_s
exp2,adult,logreg,lime,123,50,raw,experiments/exp2_scaled/results/logreg_lime/seed_123/n_50/results.json,0.6324620501635649,0.006336005258709549,0.0800462962962963,0.3122438788835356,3.3704293789924122,10.828079
exp2,adult,logreg,lime,123,100,raw,experiments/exp2_scaled/results/logreg_lime/seed_123/n_100/results.json,0.6460154147111562,0.007019835637620666,0.08222222222222221,0.31358404709149906,3.118818637885852,20.13783
exp2,adult,logreg,lime,123,200,raw,experiments/exp2_scaled/results/logreg_lime/seed_123/n_200/results.json,0.6561238966353022,0.006857544344431143,0.08399305555555553,0.3128869803493771,3.1381904094087076,40.016307
exp2,adult,logreg,lime,456,50,raw,experiments/exp2_scaled/results/logreg_lime/seed_456/n_50/results.json,0.6746465219305238,0.008286244300407721,0.08814814814814813,0.31635432693889953,20.043678543297574,75.390348
exp2,adult,logreg,lime,456,100,raw,experiments/exp2_scaled/results/logreg_lime/seed_456/n_100/results.json,0.6696289361812039,0.007345532024549347,0.08585648148148146,0.3244471623945071,3.211419925210066,20.339325
exp2,adult,logreg,lime,456,200,raw,experiments/exp2_scaled/results/logreg_lime/seed_456/n_200/results.json,0.6762806059777391,0.006580883872178731,0.0866087962962963,0.3249135099051756,3.1273982325728866,40.020427
exp2,adult,logreg,lime,789,50,raw,experiments/exp2_scaled/results/logreg_lime/seed_789/n_50/results.json,0.6513009338370273,0.038166759338729234,0.08611111111111111,0.3074759266062494,3.4854200202971697,10.96323
exp2,adult,logreg,lime,789,100,raw,experiments/exp2_scaled/results/logreg_lime/seed_789/n_100/results.json,0.6533059164969995,0.03771840503289701,0.08534722222222221,0.3070733378813598,2.9991785481979605,19.549268
exp2,adult,logreg,lime,789,200,raw,experiments/exp2_scaled/results/logreg_lime/seed_789/n_200/results.json,0.6597259138179943,0.0405556728769594,0.08594907407407407,0.31679780782476213,2.6576454196765553,34.550559
exp2,adult,logreg,lime,999,50,raw,experiments/exp2_scaled/results/logreg_lime/seed_999/n_50/results.json,0.6677192758850558,0.03059691654660294,0.08694444444444444,0.31553187815490047,3.117423120420426,9.903417
exp2,adult,logreg,lime,999,100,raw,experiments/exp2_scaled/results/logreg_lime/seed_999/n_100/results.json,0.6653998266248681,0.0307205240784777,0.08664351851851851,0.3237399893670389,3.0352436126122484,19.634201
exp2,adult,logreg,lime,999,200,raw,experiments/exp2_scaled/results/logreg_lime/seed_999/n_200/results.json,0.6592160039860127,0.0290808244414431,0.08581018518518517,0.3148972954319323,3.153980133611185,40.338473
exp2,adult,logreg,shap,42,50,raw,experiments/exp2_scaled/results/logreg_shap/seed_42/n_50/results.json,0.9599164670921929,0.8779396399268252,0.09259259259259257,0.3523310787741589,29.04440228623571,115.016959
exp2,adult,logreg,shap,42,100,raw,experiments/exp2_scaled/results/logreg_shap/seed_42/n_100/results.json,0.959757718197912,0.8766806798112211,0.09259259259259257,0.3501784985589675,25.475084917852655,200.979151
exp2,adult,logreg,shap,42,200,raw,experiments/exp2_scaled/results/logreg_shap/seed_42/n_200/results.json,0.9602837332279739,0.8803512250497534,0.09259259259259257,0.35156536756364615,29.505446925759315,468.707697
exp2,adult,logreg,shap,123,50,raw,experiments/exp2_scaled/results/logreg_shap/seed_123/n_50/results.json,0.9379595773286007,0.8553003141124006,0.09259259259259257,0.35307989873077317,623.6172996399999,270.113502
exp2,adult,logreg,shap,123,100,raw,experiments/exp2_scaled/results/logreg_shap/seed_123/n_100/results.json,0.9417485842877659,0.8681958762735903,0.09259259259259257,0.35607617231320193,33.201233635154495,247.455194
exp2,adult,logreg,shap,123,200,raw,experiments/exp2_scaled/results/logreg_shap/seed_123/n_200/results.json,0.9424073589695949,0.8623912728670081,0.09259259259259257,0.35863408424437204,31.653560482391185,485.585546
exp2,adult,logreg,shap,456,50,raw,experiments/exp2_scaled/results/logreg_shap/seed_456/n_50/results.json,0.9274259635377149,0.8805061761181555,0.09259259259259257,0.35243707251227546,30.996038566008792,118.265551
exp2,adult,logreg,shap,456,100,raw,experiments/exp2_scaled/results/logreg_shap/seed_456/n_100/results.json,0.9314471339592236,0.8844316276406344,0.09259259259259257,0.35346509971719925,32.14998072733579,246.716742
exp2,adult,logreg,shap,456,200,raw,experiments/exp2_scaled/results/logreg_shap/seed_456/n_200/results.json,0.9304473592176842,0.8854789756823789,0.09259259259259257,0.3574315767917821,71.97989135293028,1097.234126
exp2,adult,logreg,shap,789,50,raw,experiments/exp2_scaled/results/logreg_shap/seed_789/n_50/results.json,0.9493366084901601,0.8753385382069382,0.09259259259259257,0.3585078850324684,224.41340542573016,871.934779
exp2,adult,logreg,shap,789,100,raw,experiments/exp2_scaled/results/logreg_shap/seed_789/n_100/results.json,0.9505743504204763,0.8822391625427666,0.09259259259259257,0.35704438881179257,31.08247168986054,240.051768
exp2,adult,logreg,shap,789,200,raw,experiments/exp2_scaled/results/logreg_shap/seed_789/n_200/results.json,0.9506201434607161,0.8846325424954429,0.09259259259259257,0.3549511141084323,25.88628585501283,398.548212
