experiment_name,dataset,duration,model,explainer,cost_mean,cost_std,sparsity_mean,sparsity_std,fidelity_mean,fidelity_std,faithfulness_gap_mean,faithfulness_gap_std,stability_mean,stability_std,cf_sensitivity_mean,cf_sensitivity_std
exp2_logreg_anchors_s456_n50,adult,453.910208,adult_logreg,anchors,1147.139537075003,2187.779428620176,0.03421296296296296,0.027811669139575532,0.5059430944807197,0.1846632368622277,0.23248050088497713,0.17804196303492137,0.00010685794932649012,0.0007537058009245181,,
exp2_svm_anchors_s789_n50,adult,8554.411834,adult_svm,anchors,35822.03486499959,62923.33404377981,0.04555555555555555,0.06202570377407587,0.5366468230148077,0.2099965773111529,0.30747533879330613,0.2572665580064345,0.0001364774001802114,0.0009222854779092798,,
exp2_logreg_dice_s123_n200,adult,6290.085148,adult_logreg,dice,481.32903098397946,204.00181010307864,0.017557870370370366,0.014743712295578786,0.1766217054774862,0.237403834250376,0.06588961775171545,0.11211917559252002,0.3567917281073044,0.3571702318282098,0.0,0.0
exp2_svm_anchors_s999_n100,adult,14320.984093,adult_svm,anchors,27938.890439895014,47850.99735589746,0.04217592592592592,0.054525147260813915,0.5147677508190295,0.22485258823884427,0.2948504852805507,0.24982699289829857,0.0003696835477692237,0.002550884172874739,,
exp2_logreg_dice_s999_n50,adult,0.261787,adult_logreg,dice,,,,,,,,,,,,
exp2_mlp_shap_s789_n100,adult,470.564643,adult_mlp,shap,64.4231540648434,12.305559478752762,0.09259259259259257,1.3877787807814457e-17,0.7162711814139076,0.1536269544855577,0.4279698463143083,0.30850133006210184,0.32670921437701717,0.2408876048098332,,
exp2_svm_dice_s789_n50,adult,6872.730197,adult_svm,dice,2093.819437289494,72.97619880440318,0.01587962962962963,0.004179763367787654,0.23494843857780956,0.2644266053293805,0.07038579808066847,0.11850125905561906,0.3794965935540848,0.3155780663409246,0.0,0.0
exp2_xgb_anchors_s123_n50,adult,0.241035,adult_xgb,anchors,,,,,,,,,,,,
exp2_svm_dice_s42_n100,adult,14865.674122,adult_svm,dice,2315.799067696753,778.6918900807742,0.01525462962962963,0.00461333939540861,0.20871373536718438,0.2552319164610733,0.060914404459455486,0.09979226427409409,0.3861027174465558,0.32508990052013587,0.0,0.0
exp2_svm_dice_s789_n200,adult,26750.589079,adult_svm,dice,2106.122792898732,858.0667566704991,0.01574074074074074,0.004392052305789415,0.23325263394767887,0.2688176648612654,0.07068210427134797,0.11664281628209106,0.394157272845079,0.3155360192569599,0.0,0.0
exp2_svm_shap_s123_n200,adult,82118.695868,adult_svm,shap,94471.67808734566,9133.515854694155,0.09259259259259257,1.3877787807814457e-17,0.9407644084011444,0.07295952668097877,0.6431003879465305,0.134475348165173,0.9703530445601113,0.03197785082894322,,
exp2_logreg_dice_s42_n100,adult,3154.389422,adult_logreg,dice,492.4592659602058,329.41367355565274,0.017106481481481483,0.012368109927373019,0.17087884143383938,0.23257378808169427,0.06291996234586546,0.10721774423962119,0.3606527101532086,0.36649041470849864,0.0,0.0
exp2_xgb_dice_s789_n100,adult,0.238621,adult_xgb,dice,,,,,,,,,,,,
exp2_logreg_anchors_s456_n200,adult,2165.59093,adult_logreg,anchors,1449.3678942837482,5845.1829388620245,0.03614583333333333,0.03826324996385748,0.5029387748968105,0.1894156229696497,0.2321882315594407,0.19129855500321385,0.0007475729932549726,0.005731222264273686,,
exp2_xgb_dice_s999_n200,adult,8306.532863,adult_xgb,dice,710.299256282633,1611.1744394976076,0.016585648148148148,0.0077754264385588735,0.3173058990162563,0.29021081879529254,0.17283521527591802,0.23111681597452594,0.5804038895473046,0.2647146365228978,0.0,0.0
exp2_logreg_anchors_s999_n200,adult,0.328601,adult_logreg,anchors,,,,,,,,,,,,
exp2_logreg_dice_s42_n200,adult,6326.717883,adult_logreg,dice,484.08015651379174,199.11178027073706,0.017499999999999998,0.013411230782859232,0.17616744301577378,0.2346898602836344,0.06508838877014579,0.10377777792097513,0.3519688012108235,0.35775559287529596,0.0,0.0
exp2_mlp_anchors_s999_n100,adult,4642.733489,adult_mlp,anchors,9910.068440315517,20363.273295504525,0.14344907407407406,0.21305049403865886,0.2993947150291353,0.2333387898719638,0.23913235199997687,0.23396114205662583,3.418115050973352e-05,0.0003913472072267182,,
exp2_xgb_anchors_s42_n200,adult,0.30993,adult_xgb,anchors,,,,,,,,,,,,
exp2_mlp_shap_s42_n50,adult,1002.685012,adult_mlp,shap,274.81181315524736,76.06708930875581,0.09259259259259257,1.3877787807814457e-17,0.7306365623948614,0.14581579670362957,0.4529532007709507,0.31722943379219987,0.33718070006917095,0.255082242794721,,
exp2_mlp_anchors_s789_n100,adult,13625.343852,adult_mlp,anchors,10530.662785959868,21501.789520680566,0.14456018518518518,0.21473943915251736,0.30246651881495457,0.2299181249168533,0.234382811580019,0.23382848581677645,0.00020284945771549938,0.0023802061473387637,,
exp2_xgb_anchors_s456_n100,adult,1870.27695,adult_xgb,anchors,2363.510818358336,8772.117570939508,0.05425925925925926,0.06777967514041298,0.3136310257344175,0.21605693594222622,0.22054060650698376,0.2449593140416715,0.0010926536935005004,0.006988509585352248,,
exp2_svm_dice_s123_n50,adult,6.985194,adult_svm,dice,,,,,,,,,,,,
exp2_rf_anchors_s999_n100,adult,23282.017019,adult_rf,anchors,53732.561442503276,88521.86308792594,0.19925925925925927,0.2741224932205265,0.29593003413264546,0.2634596761843408,0.20654500000000003,0.20891927282645167,0.00016720375410763624,0.00126301414098675,,
exp2_svm_dice_s456_n100,adult,8.267386,adult_svm,dice,,,,,,,,,,,,
exp2_mlp_dice_s456_n200,adult,0.453305,adult_mlp,dice,,,,,,,,,,,,
exp2_mlp_anchors_s123_n200,adult,0.611519,adult_mlp,anchors,,,,,,,,,,,,
