seed,cost,sparsity,fidelity,faithfulness_gap,domain_precision,domain_recall,stability
42,9.249078987631947,0.09231481481481485,0.5411360335341194,0.4165810639318079,0.95,0.4333333333333333,0.2678266410484642
43,9.329000993166119,0.09250000000000004,0.5255519269778813,0.40613942567957567,0.9359999999999999,0.41166666666666674,0.26093767571666526
44,9.363637000788003,0.09148148148148151,0.47243329971001524,0.4074856075644493,0.922,0.4050000000000001,0.2772624313531165
45,9.08570697531104,0.09259259259259262,0.5059874160812093,0.406280434646178,0.93,0.42,0.28256341199230606
46,9.527867999859154,0.09231481481481485,0.5343405633104287,0.4342614678665996,0.932,0.41833333333333333,0.2702288012873598
47,9.118112020660192,0.09240740740740744,0.4852934248079893,0.3992111737770028,0.9300000000000002,0.40833333333333327,0.24808801124089042
48,9.404914996121079,0.09259259259259262,0.5253963067231806,0.4103212816384621,0.9359999999999999,0.41666666666666663,0.24658773050802804
49,9.55705299274996,0.09212962962962966,0.48185867209697364,0.3909755635820329,0.916,0.41,0.21645683457145876
51,9.124479992315173,0.09240740740740744,0.4964820713806841,0.41203106474597007,0.9419999999999998,0.42333333333333334,0.2373392875645464
