instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
7,FN,False,4004.5271000126377,0.018518518518518517,0.4771270124051501,0.06509933832961931,0.0,,
40,TN,True,10098.241553991102,0.018518518518518517,0.1879140834141137,0.016594420017532682,0.34761904761904755,,
51,FN,False,4008.6109999974724,0.027777777777777776,0.3686877679218523,0.04930800556326148,0.0,,
66,FP,False,184263.83721199818,0.037037037037037035,0.7945314382760974,0.4403298329591433,0.377104028445063,,
91,FP,False,151202.47030002065,0.06481481481481481,0.5191371106967574,0.2995479425585163,0.0,,
99,FP,False,30025.36530001089,0.037037037037037035,0.58284683114796,0.6888449275424404,0.0,,
101,TN,True,15768.613381893374,0.018518518518518517,0.016727783907439897,0.0023699360240903855,0.6142857142857141,,
105,FN,False,3009.4604000041727,0.018518518518518517,0.5766335019875566,0.3993582370357097,0.0,,
114,FN,False,4003.9471000200137,0.018518518518518517,0.2623879817275917,0.1352781345012279,0.0,,
123,FN,False,18058.354899985716,0.018518518518518517,0.5334076508217398,0.11199661377462325,0.0,,
143,FP,False,141165.31539999414,0.046296296296296294,0.7207011598801158,0.7246796875632273,0.0,,
157,FN,False,3001.9311000069138,0.018518518518518517,0.8718245298655836,0.24278025934590639,0.0,,
171,FN,False,28033.559300005436,0.018518518518518517,0.133759446966216,0.01296710975032693,0.0,,
172,FN,False,6005.770500021754,0.018518518518518517,0.03882367054072148,0.0035056782604538372,0.0,,
189,FN,False,3002.9240000003483,0.018518518518518517,0.30854151007711594,0.05350971642597985,0.0,,
192,TP,True,182009.84202104155,0.12962962962962962,0.3888253584339793,0.2083230938818474,0.2614081510517464,,
207,TN,True,53140.460652066395,0.06481481481481481,0.3888627334061761,0.5352751891330461,0.1714285714285714,,
215,FN,False,8021.895499987295,0.018518518518518517,0.07121999659543417,0.09388102247151253,0.0,,
233,FP,False,58056.810899986885,0.037037037037037035,0.747537250989575,0.3546764278488411,0.0,,
241,FN,False,10008.110299997497,0.027777777777777776,0.5081546374813987,0.31651219694623733,0.0,,
254,TP,True,169637.68214790616,0.037037037037037035,0.6770792880704368,0.5145428367525232,0.28301788918924115,,
275,FN,False,5005.493700009538,0.018518518518518517,0.6828022543052651,0.19890816713624834,0.0,,
285,TP,True,33576.312297955155,0.037037037037037035,0.5173645962478739,0.6484106247337116,0.5205985111991258,,
294,FN,False,3008.5111999942455,0.018518518518518517,0.7749797723608118,0.19416811711773618,0.0,,
309,FP,False,53052.99230001401,0.027777777777777776,0.9309286087059221,0.6385269165795789,0.0,,
331,TN,True,32990.670358994976,0.018518518518518517,0.4173427031559907,0.005844289818266679,0.4285714285714285,,
334,FN,False,5017.29200000409,0.018518518518518517,0.44717871575331525,0.14528657101306938,0.0,,
337,FP,False,31034.196900000097,0.037037037037037035,0.5198267200355637,0.6235785449048801,0.0,,
339,TP,True,51385.661120992154,0.12962962962962962,0.32524550732122026,0.07392962917952184,0.577003269725894,,
360,TN,True,14644.387080916204,0.018518518518518517,0.7379329689346994,0.03275246331658354,0.6047619047619046,,
378,FP,False,51051.55130001367,0.05555555555555555,0.5743229322531717,0.3975083335343337,0.0,,
387,FN,False,4006.4391000196338,0.018518518518518517,0.6109965493281231,0.3080393896760242,0.0,,
389,TN,True,13821.44170301035,0.018518518518518517,0.24640789742412098,0.013311846346429998,0.5857142857142856,,
400,TN,True,13926.622772822157,0.018518518518518517,0.0036461148872692535,0.0031816714770759452,0.48571428571428565,,
